hie	PAVD	hier	hièr
edelen	ADJA.Pos.*.Akk.Pl.wk	edelen	èdele
rîchen	ADJA.Pos.*.Akk.Pl.wk	rîchen	rîche
,	$_	,	,
die	DDS.*.Nom.Pl.*	die	dër
lebent	VVFIN.Ind.Pres.Pl.3	lebent	lëben
unfrôlîchen	AVD	unvroelîchen	unvroèlîche
.	$_	.	.
	
die	DDART.*.Nom.Pl.*	die	dër
wîben	NA.Neut.Nom.Pl.st	wîben	wîb
solten	VMFIN.*.Past.Pl.3	solten	solen
lachen	VVINF	lachen	lachen
und	KON	und	unte
fröude	NA.Fem.Akk.Sg.st	vröuwede	vröuwede
solten	VMFIN.*.Past.Pl.3	solten	solen
machen	VVINF	machen	machen
,	$_	,	,
ich	PPER.*.Nom.Sg.1	ich	ich
mein	VVFIN.*.Pres.Sg.1	meine	mèinen
die	DDART.*.Akk.Pl.*	die	dër
edelen	ADJA.Pos.*.Akk.Pl.wk	edelen	èdele
jungen	ADJA.Pos.*.Akk.Pl.wk	jungen	jung
,	$_	,	,
die	DDS.Fem.Nom.Pl.*	die	dër
lebent	VVFIN.Ind.Pres.Pl.3	lebent	lëben
unbetwungen	ADJD.Pos	unbetwungen	unbedwungen
an	APPR	an	ane
tugenthaftem	ADJA.Pos.Masc,Neut.Dat.Sg.st	tugenthaftem	tugendhaft
muote	NA.Masc,Neut.Dat.Sg.st	muote	muot
.	$_	.	.
	
manec	DIS.Masc.Nom.Sg.*	manic	manig
bî	APPR	bî	bî
grôzem	ADJA.Pos.Neut.Dat.Sg.st	grôzem	grôz
guote	NA.Neut.Dat.Sg.st	guote	guot
lebt	VVFIN.Ind.Pres.Sg.3	lebet	lëben
unfrôlîchen	AVD	unvroelîchen	unvroèlîche
.	$_	.	.
	
wem	PW.Masc.Dat.Sg.st	wem	wër
sol	VMFIN.Ind.Pres.Sg.1	sol	solen
ich	PPER.*.Nom.Sg.1	ich	ich
daz	DDS.Neut.Akk.Sg.*	daz	dër
gelîchen	VVINF	gelîchen	gelîchen
wandaz	KOUS	wan_daz	wan_dazz
im	PPER.Masc.Dat.Sg.3	im	ër
sô	AVD	sô	sô
nâhent	VVFIN.Ind.Pres.Pl.3	nâhent	nâhen
gât	VVFIN.Ind.Pres.Sg.3	gât	gân
daz	DDART.Neut.Nom.Sg.*	daz	dër
guot	NA.Neut.Nom.Sg.st	guot	guot
ze	APPR	ze	ze
herzen	NA.Neut.Dat.Sg.wk	herzen	hërze
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
lât	VVFIN.Ind.Pres.Sg.3	lât	lâzen
fröude	NA.Fem.Akk.Sg.st	vröuwede	vröuwede
und	KON	und	unte
allen	DIA.Masc.Akk.Sg.st	allen	all
hôhen	ADJA.Pos.Masc.Akk.Sg.*	hôhen	hôh
muot	NA.Masc.Akk.Sg.st	muot	muot
?	$_	?	?
	
wem	PW.Masc.Dat.Sg.st	wem	wër
sol	VMFIN.Ind.Pres.Sg.3	sol	solen
dann	AVD	danne	danne
sîn	VAINF	sîn	sîn
grôz	ADJA.Pos.Neut.Nom.Sg.*	grôz	grôz
guot	NA.Neut.Nom.Sg.st	guot	guot
dâ	PAVD	dâ	dâr
mite	PAVAP	mite	mite
er	PPER.Masc.Nom.Sg.3	er	ër
lasterlîchen	AVD	lasterlîchen	lasterlîche
lebet	VVFIN.Ind.Pres.Sg.3	lebet	lëben
und	KON	und	unte
nâch	APPR	nâch	nâh
grôzem	ADJA.Pos.Masc.Dat.Sg.st	grôzem	grôz
horde	NA.Masc.Dat.Sg.st	horde	hord
strebet	VVFIN.Ind.Pres.Sg.3	strebet	strëben
?	$_	?	?
	
guot	ADJD.Pos	guot	guot
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
guot	ADJD.Pos	guot	guot
swer	PG.Masc.Nom.Sg.st	swer	swër
daz	DDS.Neut.Akk.Sg.*	daz	dër
hât	VAFIN.Ind.Pres.Sg.3	hât	haben
.	$_	.	.
	
swer	PG.Masc.Nom.Sg.st	swer	swër
aber	AVD	aber	aber
mit	APPR	mit	mit
dem	DDART.Neut.Dat.Sg.*	dem	dër
guot	NA.Neut.Dat.Sg.st	guote	guot
begât	VVFIN.Ind.Pres.Sg.3	begât	begân
daz	DRELS.Neut.Nom.Sg	daz	dër
im	PPER.Masc.Dat.Sg.3	im	ër
stât	VVFIN.Ind.Pres.Sg.3	stât	stân
lasterlîche	AVD	lasterlîche	lasterlîche
,	$_	,	,
der	DDS.Masc.Nom.Sg.*	der	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
arm	ADJD.Pos	arm	arm
und	KON	und	unte
niht	PTKNEG	niht	niht
rîche	ADJD.Pos	rîche	rîche
.	$_	.	.
	
swer	PG.Masc.Nom.Sg.st	swer	swër
aber	AVD	aber	aber
guot	NA.Neut.Akk.Sg.st	guot	guot
gerne	AVD	gerne	gërne
hât	VAFIN.Ind.Pres.Sg.3	hât	haben
und	KON	und	unte
dâ	AVD	dâ	dâr
mit	APPR	mit	mit
êre	NA.Fem.Dat.Sg.st	êre	êre
begât	VVFIN.Ind.Pres.Sg.3	begât	begân
und	KON	und	unte
hât	VAFIN.Ind.Pres.Sg.3	hât	haben
er	PPER.Masc.Nom.Sg.3	er	ër
got	NA.Masc.Akk.Sg.st	got	got
verougen	NA.Neut.Akk.Pl.wk	verougen	verouge
...	VVPP	getuon	vünft
der	DDS.Masc.Nom.Sg.*	der	dër
hât	VAFIN.Ind.Pres.Sg.3	hât	haben
zer	APPR|DDART.Fem.Dat.Sg.*	ze|der	ze|dër
welde	NA.Fem.Dat.Sg.st	werelte	wërelt
êre	NA.Fem.Akk.Sg.st	êre	êre
und	KON	und	unte
gewint	VVFIN.Ind.Pres.Sg.3	gewinnet	gewinnen
dort	AVD	dort	dort
saelden	NA.Fem.Gen.Pl.*	sælden	sælede
mêre	ADJA.Comp.Neut.Akk.Sg.wk	mêre	mêre
,	$_	,	,
ich	PPER.*.Nom.Sg.1	ich	ich
meine	VVFIN.*.Pres.Sg.1	meine	mèinen
in	APPR	in	in
himelrîche	NA.Neut.Dat.Sg.st	himelrîche	himelrîche
:	$_	:	:
daz	DDS.Neut.Akk.Sg.*	daz	dër
wizzet	VVIMP.Pl.2	wizzet	wizzen
sicherlîche	AVD	sicherlîche	sicherlîche
.	$_	.	.
	
guot	NA.Neut.Akk.Sg.st	guot	guot
sol	VMFIN.Ind.Pres.Sg.3	sol	solen
man	PI.*.Nom.Sg.st	man	man
behalten	VVINF	behalten	behalten
und	KON	und	unte
dâ	AVD	dâ	dâr
bî	APPR	bî	bî
êren	NA.Fem.Gen.Pl.*	êren	êre
walten	VVINF	walten	walten
.	$_	.	.
	
künde	VMFIN.*.Past.Sg.1	kunde	kunnen
ich	PPER.*.Nom.Sg.1	ich	ich
guote	ADJA.Pos.Masc.Akk.Pl.st	guote	guot
raete	NA.Masc.Akk.Pl.st	ræte	rât
,	$_	,	,
swer	PG.Masc.Nom.Sg.st	swer	swër
nâch	APPR	nâch	nâh
mîner	DPOSA.Fem.Dat.Sg.st	mîner	mîn
lêre	NA.Fem.Dat.Sg.st	lêre	lêre
taete	VVFIN.Subj.Past.Sg.3	tæte	tuon
,	$_	,	,
dem	DDS.Masc.Dat.Sg.*	dem	dër
riete	VVFIN.Subj.Past.Sg.1	riete	râten
ich	PPER.*.Nom.Sg.1	ich	ich
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
behielte	VVFIN.Subj.Past.Sg.3	behielte	behalten
guot	NA.Neut.Akk.Sg.st	guot	guot
und	KON	und	unte
dâ	PAVD	dâ	dâr
bî	PAVAP	bî	bî
wielte	VVFIN.Subj.Past.Sg.3	wielte	walten
.	$_	.	.
	
der	DRELS.Masc.Nom.Sg	der	dër
wîtze	NA.Fem.Akk.Sg.st	witze	witze
und	KON	und	unte
êre	NA.Fem.Akk.Sg.st	êre	êre
hât	VAFIN.Ind.Pres.Sg.3	hât	haben
,	$_	,	,
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
dâ	PAVD	dâ	dâr
mite	PAVAP	mite	mite
niht	PTKNEG	niht	niht
begât	VVFIN.Ind.Pres.Sg.3	begât	begân
daz	KOUS	daz	dazz
man	PI.*.Nom.Sg.st	man	man
im	PPER.Masc.Dat.Sg.3	im	ër
sprichet	VVFIN.Ind.Pres.Sg.3	sprichet	sprëchen
guoter	ADJA.Pos.Masc.Nom.Sg.st	guoter	guot
man	NA.Masc.Nom.Sg.st	man	mann
,	$_	,	,
der	DRELS.Masc.Nom.Sg	der	dër
daz	DDS.Neut.Akk.Sg.*	daz	dër
niht	PTKNEG	niht	niht
verdienen	VVINF	verdienen	verdiènen
kan	VMFIN.Ind.Pres.Sg.3	kan	kunnen
daz	KOUS	daz	dazz
im	PPER.Masc.Dat.Sg.3	im	ër
ieman	DIA.*.Nom.Sg.st	ieman	ièmannd
spreche	VVFIN.Subj.Pres.Sg.3	spreche	sprëchen
wol	AVD	wole	wole
,	$_	,	,
ine	PPER.*.Nom.Sg.1|PTKNEG	ich|ne	ich|ne
weiz	VVFIN.Ind.Pres.Sg.3	weiz	wizzen
zwiu	APPR|PW.*.Instr.Sg.st	ze|wiu	ze|wër
dem	DRELS.Masc.Dat.Sg	dem	dër
sîn	DPOSA	sîn	sîn
guot	NA.Neut.Nom.Sg.st	guot	guot
sol	VMFIN.Ind.Pres.Sg.3	sol	solen
.	$_	.	.
	
sô	AVD	sô	sô
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
ouch	AVD	ouch	ouch
manic	DIA.Masc.Nom.Sg.*	manic	manig
rîcher	ADJA.Pos.Masc.Nom.Sg.st	rîcher	rîche
man	NA.Masc.Nom.Sg.st	man	mann
dem	DRELS.Masc.Dat.Sg	dem	dër
al	DIA	al	all
diu	DDART.Fem.Nom.Sg.*	diu	dër
welt	NA.Fem.Nom.Sg.st	werelt	wërelt
wol	AVD	wole	wole
guotes	NA.Neut.Gen.Sg.st	guotes	guot
gan	VVFIN.Ind.Pres.Sg.3	gan	gunnen
,	$_	,	,
wan	KO*	wan	wante
der	DDS.Masc.Nom.Sg.*	der	dër
hât	VAFIN.Ind.Pres.Sg.3	hât	haben
tugenthaften	ADJA.Pos.Masc.Akk.Sg.*	tugenthaften	tugendhaft
muot	NA.Masc.Akk.Sg.st	muot	muot
und	KON	und	unte
schaffet	VVFIN.Ind.Pres.Sg.3	schaffet	schaffen
daz	DDS.Neut.Akk.Sg.*	daz	dër
mit	APPR	mit	mit
sînem	DPOSA.Neut.Dat.Sg.st	sînem	sîn
guot	NA.Neut.Dat.Sg.st	guote	guot
daz	KOUS	daz	dazz
man	PI.*.Nom.Sg.st	man	man
im	PPER.Masc.Dat.Sg.3	im	ër
muoz	VMFIN.Ind.Pres.Sg.3	muoz	müèzen
tugende	NA.Fem.Akk.Pl.st	tugende	tugende
jehen	VVINF	jehen	jëhen
:	$_	:	:
der	DDS.Masc.Nom.Sg.*	der	dër
lât	VVFIN.Ind.Pres.Sg.3	lât	lâzen
von	APPR	von	von
im	PPER.Masc.Dat.Sg.3	im	ër
niht	NA.Neut.Akk.Sg.st	niht	niht
anders	DIS.Neut.Gen.Sg.st	anders	ander
sehen	VVINF	sehen	sëhen
wan	KOKOM	wan	wan
tugentlîche	AVD	tugentlîche	tugendlîche
reine	ADJA.Pos.Fem.Akk.Sg.st	reine	rèine
site	NA.Fem.Akk.Sg.*	site	site
.	$_	.	.
	
dâ	PAVD	dâ	dâr
liebt	VVFIN.Ind.Pres.Sg.3	liebet	lièben
er	PPER.Masc.Nom.Sg.3	er	ër
sich	PRF.Akk.*.*	sich	sich
den	DDART.*.Dat.Pl.*	den	dër
liuten	NA.Masc,Neut.Dat.Pl.st	liuten	liut
mite	PAVAP	mite	mite
,	$_	,	,
daz	KOUS	daz	dazz
si	PPER.*.Nom.Pl.3	si	ër
im	PPER.Masc.Dat.Sg.3	im	ër
tragent	VVFIN.Ind.Pres.Pl.3	tragent	tragen
holden	ADJA.Pos.Masc.Akk.Sg.*	holden	hold
muot	NA.Masc.Akk.Sg.st	muot	muot
:	$_	:	:
daz	DDS.Neut.Nom.Sg.*	daz	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
wol	AVD	wole	wole
und	KON	und	unte
hât	VAFIN.Ind.Pres.Sg.3	hât	haben
der	DDART.Masc.Nom.Sg.*	der	dër
guot	ADJA.Pos	guot	guot
.	$_	.	.
	
swer	PG.Masc.Nom.Sg.st	swer	swër
aber	AVD	aber	aber
guot	NA.Neut.Akk.Sg.st	guot	guot
sô	AVD	sô	sô
liebe	AVD	liebe	lièbe
hât	VAFIN.Ind.Pres.Sg.3	hât	haben
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
niht	NA.Neut.Akk.Sg.st	niht	niht
dâ	PAVD	dâ	dâr
mite	PAVAP	mite	mite
begât	VVFIN.Ind.Pres.Sg.3	begât	begân
weder	KO*	weder	wëder
êre	NA.Fem.Akk.Sg.st	êre	êre
noch	KON	noch	noh
frümkeit	NA.Fem.Akk.Sg.st	vrumkeit	vrümighèit
,	$_	,	,
allen	DIA.*.Dat.Pl.st	allen	all
liuten	NA.Masc,Neut.Dat.Pl.st	liuten	liut
den	DDS.*.Dat.Pl.*	den	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
leit	ADJD.Pos	leit	lèid
swaz	PG.Neut.Nom.Sg.st	swaz	swër
dem	DDART.Masc.Dat.Sg.*	dem	dër
êren	NA.Fem.Dat.Pl.*	êren	êre
widervert	VVFIN.Ind.Pres.Sg.3	widervert	widervaren
.	$_	.	.
	
mit	APPR	mit	mit
sîner	DPOSA.Fem.Dat.Sg.st	sîner	sîn
erge	NA.Fem.Dat.Sg.st	erge	èrge
er	PPER.Masc.Nom.Sg.3	er	ër
sich	PRF.Akk.*.*	sich	sich
erwert	VVFIN.*.Past.Sg.3	erwerte	erwèren
daz	KOUS	daz	dazz
im	PPER.Masc.Dat.Sg.3	im	ër
nieman	DIA.*.Nom.Sg.st	nieman	nièmannd
êren	VVINF	êren	êren
gan	VVFIN.Ind.Pres.Sg.3	gan	gunnen
.	$_	.	.
	
vil	AVD	vile	vile
ofte	AVD	ofte	ofte
ich	PPER.*.Nom.Sg.1	ich	ich
daz	DDS.Neut.Akk.Sg.*	daz	dër
gesehen	VVPP	gesehen	sëhen
hân	VAFIN.Ind.Pres.Sg.1	hân	haben
daz	KOUS	daz	dazz
man	PI.*.Nom.Sg.st	man	man
den	DDART.Masc.Akk.Sg.*	den	dër
frumen	NA.Masc.Akk.Sg.*	vrumen	vrume
êret	VVFIN.Ind.Pres.Sg.3	êret	êren
und	KON	und	unte
sîne	DPOSA.Fem.Akk.Sg.st	sîne	sîn
wirde	NA.Fem.Akk.Sg.st	wirde	wirde
mêret	VVFIN.Ind.Pres.Sg.3	mêret	mêren
,	$_	,	,
sô	KO*	sô	sô
man	PI.*.Nom.Sg.st	man	man
den	DDART.Masc.Akk.Sg.*	den	dër
boesen	ADJA.Pos.Masc.Akk.Sg.*	boesen	boèse
swachet	VVFIN.Ind.Pres.Sg.3	swachet	swachen
und	KON	und	unte
in	PPER.Masc.Akk.Sg.3	in	ër
niht	PTKNEG	niht	niht
tiure	ADJD.Pos	tiure	tiure
machet	VVFIN.Ind.Pres.Sg.3	machet	machen
.	$_	.	.
	
ein	DIART.Masc.Nom.Sg.*	ein	èin
man	NA.Masc.Nom.Sg.st	man	mann
mac	VMFIN.Ind.Pres.Sg.3	mac	mügen
nâch	APPR	nâch	nâh
êren	NA.Fem.Dat.Pl.*	êren	êre
...daz	KOUS	daz	biz
im	PPER.Masc.Dat.Sg.3	im	ër
diu	DDART.Fem.Nom.Sg.*	diu	dër
welt	NA.Fem.Nom.Sg.st	werelt	wërelt
guotes	NA.Neut.Gen.Sg.st	guotes	guot
gan	VVFIN.Ind.Pres.Sg.3	gan	gunnen
.	$_	.	.
	
hie	AVD	hier	hièr
sül	VMFIN.*.Pres.Pl.1	sulen	solen
wir	PPER.*.Nom.Pl.1	wir	wir
dise	DDA.Fem.Akk.Sg.*	dise	dise
rede	NA.Fem.Akk.Sg.st	rede	rède
lân	VVINF	lân	lâzen
,	$_	,	,
wan	KO*	wan	wante
obe	KOUS	obe	obe
wir	PPER.*.Nom.Pl.1	wir	wir
immer	AVD	iemer	ièmer
triben	VVFIN.*.Pres.Pl.1	trîben	trîben
daz	KOUS	daz	dazz
,	$_	,	,
der	DDART.Masc.Nom.Sg.*	der	dër
boese	ADJA.Pos.Masc.Nom.Sg.wk	boese	boèse
getaet	VVFIN.Ind.Pres.Sg.3	getæt	getuon
doch	AVD	doch	doh
nimmer	AVD	niemer	nièmer
baz	AVD.Comp	baz	bazz
,	$_	,	,
wandaz	KOUS	wan_daz	wan_dazz
er	PPER.Masc.Nom.Sg.3	er	ër
lebt	VVFIN.Ind.Pres.Sg.3	lebet	lëben
nâch	APPR	nâch	nâh
sînem	DPOSA.Masc.Dat.Sg.st	sînem	sîn
site	NA.Masc.Dat.Sg.*	site	site
.	$_	.	.
	
den	DDART.Masc.Akk.Sg.*	den	dër
biderben	ADJA.Pos.Masc.Akk.Sg.*	biderben	bidèrbe
tiuret	VVFIN.Ind.Pres.Sg.3	tiuret	tiuren
man	PI.*.Nom.Sg.st	man	man
dâ	PAVD	dâ	dâr
mite	PAVAP	mite	mite
swâ	AVG	swâ	swâr
man	PI.*.Nom.Sg.st	man	man
im	PPER.Masc.Dat.Sg.3	im	ër
dicke	AVD	dicke	dicke
vor	PTKVZ	vore	vore
seit	VVFIN.Ind.Pres.Sg.3	seit	sagen
von	APPR	von	von
êren	NA.Fem.Dat.Pl.*	êren	êre
und	KON	und	unte
von	APPR	von	von
frümkeit	NA.Fem.Dat.Sg.st	vrumkeit	vrümighèit
.	$_	.	.
	
nu	AVD	nû	nû
hoert	VVIMP.Pl.2	hoert	hoèren
ein	DIART	ein	èin
frömdez	ADJA.Pos.Neut.Akk.Sg.st	vrumetez	vrèmede
maere	NA.Neut.Akk.Sg.st	mære	mære
.	$_	.	.
	
daz	DDS.Neut.Akk.Sg.*	daz	dër
hât	VAFIN.Ind.Pres.Sg.3	hât	haben
der	DDART.Masc.Nom.Sg.*	der	dër
pleiaere	NA.Masc.Nom.Sg.st	phlegære	pflëgære
von	APPR	von	von
welschem	ADJA.Pos.Masc.Dat.Sg.st	welhischem	walhisch
getihtet	VVPP	getihtet	tihten
,	$_	,	,
in	APPR	in	in
tiutschen	ADJA.Pos.Masc.Akk.Sg.*	diutischen	diutisch
sin	NA.Masc.Akk.Sg.st	sin	sinn
gerihtet	VVPP	gerihtet	rihten
mit	APPR	mit	mit
rîmen	NA.Masc.Dat.Pl.wk	riemen	rième
als	KO*	als	allsô
er	PPER.Masc.Nom.Sg.3	er	ër
beste	AVD.Sup	bezziste	bèzziste
kan	VMFIN.Ind.Pres.Sg.3	kan	kunnen
.	$_	.	.
	
lebet	VVFIN.Ind.Pres.Sg.3	lebet	lëben
noch	AVD	noch	noh
her	NA.Masc.Nom.Sg.*	hêrr	hêrre
hartman	NE.Nom.Sg	Hartman	Hartman
von	APPR	von	von
ouwe	NE.Dat.Sg	ouwe	Ouwe
,	$_	,	,
der	DDS.Masc.Nom.Sg.*	der	dër
kunde	VMFIN.*.Past.Sg.3	kunde	kunnen
baz	AVD.Comp	baz	bazz
getihten	VVINF	getihten	getihten
,	$_	,	,
daz	DDS.Neut.Akk.Sg.*	daz	dër
lâz	VVFIN.*.Pres.Sg.1	lâze	lâzen
ich	PPER.*.Nom.Sg.1	ich	ich
ân	APPR	âne	âne
haz	NA.Masc.Akk.Sg.st	haz	hazz
,	$_	,	,
und	KON	und	unte
von	APPR	von	von
eschenbach	NE.Dat.Sg	Eschenbach	Eschenbach
her	NA.Masc.Nom.Sg.*	hêrr	hêrre
wolfram	NE.Nom.Sg	Wolvram	Wolfram
:	$_	:	:
gên	APPR	gein	gègen
sîner	DPOSA.Fem.Dat.Sg.st	sîner	sîn
künste	NA.Fem.Dat.Sg.st	künste	kunst
bin	VAFIN.Ind.Pres.Sg.1	bin	sîn
ich	PPER.*.Nom.Sg.1	ich	ich
lam	ADJD.Pos	lam	lam
die	DRELS.Fem.Akk.Sg	die	dër
er	PPER.Masc.Nom.Sg.3	er	ër
het	VAFIN.*.Past.Sg.3	hæte	haben
bî	APPR	bî	bî
sînen	DPOSA.*.Dat.Pl.st	sînen	sîn
tagen	NA.Masc.Dat.Pl.st	tagen	tag
.	$_	.	.
	
doch	AVD	doch	doh
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
ich	PPER.*.Nom.Sg.1	ich	ich
iu	PPER.*.Dat.Pl.2	iu	ir
ein	DIART.Neut.Akk.Sg.*	ein	èin
maere	NA.Fem,Neut.Akk.Sg.st	mære	mære
sagen	VVINF	sagen	sagen
von	APPR	von	von
