welt	VMFIN.*.Pres.Pl.2	wellt	wèllen
sîn	DPOSA.Neut.Nom.Sg.*	sîn	sîn
herze	NA.Neut.Nom.Sg.wk	herze	hërze
mit	PAVAP	mit	mite
gecleit	VVPP	gekleit	klèiden
.	$_	.	.
	
man	PI.*.Nom.Sg.st	man	man
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
in	PPER.Masc.Akk.Sg.3	in	ër
in	APPR	in	in
sînen	DPOSA.*.Dat.Pl.st	sînen	sîn
zîten	NA.Fem,Neut.Dat.Pl.st	zîten	zît
nâch	APPR	nâch	nâh
allen	DIA.*.Dat.Pl.st	allen	all
den	DDART.*.Dat.Pl.*	den	dër
êren	NA.Fem.Dat.Pl.*	êren	êre
strîten	VVINF	strîten	strîten
die	DRELS.Masc.Akk.Pl	die	dër
ie	AVD	ie	iè
herre	NA.Masc.Nom.Sg.*	hêrre	hêrre
gewan	VVFIN.Ind.Past.Sg.3	gewan	gewinnen
.	$_	.	.
	
vür	APPR	vür	vüre
wâr	NA.Neut.Akk.Sg.st	wâr	wâr
ich	PPER.*.Nom.Sg.1	ich	ich
daz	DDS.Neut.Akk.Sg.*	daz	dër
vernomen	VVPP	vernomen	vernëmen
hân	VAFIN.Ind.Pres.Sg.1	hân	haben
,	$_	,	,
er	PPER.Masc.Nom.Sg.3	er	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
der	DDART.Masc.Nom.Sg.*	der	dër
allerbeste	ADJA.Sup.Masc.Nom.Sg.wk	allerbezzeste	allerbèzzest
,	$_	,	,
den	DRELS.Masc.Akk.Sg	den	dër
dô	KOUS	dô	dô
ieman	DIA.*.Nom.Sg.st	ieman	ièmannd
weste	VVFIN.*.Past.Sg.3	weste	wizzen
über	APPR	über	über
alliu	DIA.Neut.Akk.Pl.st	alliu	all
rîche	NA.Neut.Akk.Pl.st	rîche	rîche
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
lebt	VVFIN.*.Past.Sg.3	lebete	lëben
sô	AVD	sô	sô
wünneclîche	AVD	wünniclîche	wünniglîche
,	$_	,	,
daz	KOUS	daz	dazz
im	PPER.Masc.Dat.Sg.3	im	ër
allez	DIA.Neut.Nom.Sg.st	allez	all
daz	DDS.Neut.Nom.Sg.*	daz	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
holt	ADJD.Pos	holt	hold
.	$_	.	.
	
daz	DDS.Neut.Akk.Sg.*	daz	dër
riet	VVFIN.Ind.Past.Sg.3	riet	râten
im	PPER.Masc.Dat.Sg.3	im	ër
der	DDART.Fem.Gen.Sg.*	der	dër
êre	NA.Fem.Gen.Sg.st	êre	êre
solt	NA.Masc.Nom.Sg.st	solt	sold
.	$_	.	.
	
sîn	DPOSA	sîn	sîn
allerbestiu	ADJA.Sup.Fem.Nom.Sg.st	allerbezzistiu	allerbèzzest
stunde	NA.Fem.Nom.Sg.*	stunde	stunte
,	$_	,	,
die	DRELS.Fem.Akk.Sg	die	dër
er	PPER.Masc.Nom.Sg.3	er	ër
betrahten	VVINF	betrahten	betrahten
kunde	VMFIN.*.Past.Sg.3	kunde	kunnen
,	$_	,	,
daz	DDS.Neut.Nom.Sg.*	daz	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
,	$_	,	,
swenne	AVG	swenne	swanne
im	PPER.Masc.Dat.Sg.3	im	ër
daz	DDART.Neut.Nom.Sg.*	daz	dër
heil	NA.Neut.Nom.Sg.st	heil	hèil
geschach	VVFIN.Ind.Past.Sg.3	geschach	geschëhen
,	$_	,	,
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
die	DDART.Fem.Akk.Sg.*	die	dër
hôchgeborne	NA.Fem.Akk.Sg.st	hôchgeborene	hôhgeborene
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
:	$_	:	:
sô	AVD	sô	sô
blüete	VVFIN.*.Past.Sg.3	blüejete	blüèjen
im	PPER.Masc.Dat.Sg.3	im	ër
immer	AVD	iemer	ièmer
hôher	ADJA.Pos.Masc.Nom.Sg.st	hôher	hôh
muot	NA.Masc.Nom.Sg.st	muot	muot
.	$_	.	.
	
die	DDS.Fem.Akk.Sg.*	die	dër
nam	VVFIN.Ind.Past.Sg.3	nam	nëmen
er	PPER.Masc.Nom.Sg.3	er	ër
vür	APPR	vür	vüre
allez	DIA.Neut.Akk.Sg.st	allez	all
guot	NA.Neut.Akk.Sg.st	guot	guot
,	$_	,	,
die	DDS.*.Nom.Pl.*	die	dër
wâren	VAFIN.Ind.Past.Pl.3	wâren	wësen
sîn	DPOSA	sîn	sîn
morgensterne	NA.Masc.Nom.Pl.*	morgensterne	morgenstërne
.	$_	.	.
	
die	DDART.Masc.Akk.Pl.*	die	dër
edelen	ADJA.Pos.*.Akk.Pl.wk	edelen	èdele
ritter	NA.Masc.Akk.Pl.st	ritter	rîtære
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
er	PPER.Masc.Nom.Sg.3	er	ër
gerne	AVD	gerne	gërne
swa	AVG	swâ	swâr
er	PPER.Masc.Nom.Sg.3	er	ër
kunde	VMFIN.*.Past.Sg.3	kunde	kunnen
und	KON	und	unte
swâ	AVG	swâ	swâr
er	PPER.Masc.Nom.Sg.3	er	ër
mohte	VMFIN.*.Past.Sg.3	mohte	mügen
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
tet	VVFIN.*.Past.Sg.3	tet	tuon
swaz	PG.Neut.Nom.Sg.st	swaz	swër
im	PPER.Masc.Dat.Sg.3	im	ër
ze	APPR	ze	ze
guote	NA.Neut.Dat.Sg.st	guote	guot
tohte	VVFIN.*.Past.Sg.3	tohte	tugen
und	KON	und	unte
wonete	VVFIN.*.Past.Sg.3	wonete	wonen
in	PPER.*.Dat.Pl.3	in	ër
bî	PTKVZ	bî	bî
mit	APPR	mit	mit
reinem	ADJA.Pos.Masc.Dat.Sg.st	reinem	rèine
site	NA.Masc.Dat.Sg.*	site	site
.	$_	.	.
	
dâ	PAVD	dâ	dâr
liebte	VVFIN.*.Past.Sg.3	liebte	lièben
er	PPER.Masc.Nom.Sg.3	er	ër
si	PPER.*.Akk.Pl.3	si	ër
sô	AVD	sô	sô
schône	AVD	schône	schône
mite	PAVAP	mite	mite
,	$_	,	,
daz	KOUS	daz	dazz
si	PPER.*.Nom.Pl.3	si	ër
im	PPER.Masc.Dat.Sg.3	im	ër
dienten	VVFIN.*.Past.Pl.3	dienten	diènen
widerstrît	NA.Masc.Akk.Sg.st	widerstrît	widerstrît
.	$_	.	.
	
si	PPER.*.Nom.Pl.3	si	ër
wontn	VVFIN.*.Past.Pl.3	wânten	wænen
im	PPER.Masc.Dat.Sg.3	im	ër
güetlîch	AVD	guotlîche	guotlîche
alle	DIA.Fem.Akk.Sg.st	alle	all
zît	NA.Fem.Akk.Sg.st	zît	zît
bî	AVD	bî	bî
hie	AVD	hier	hièr
unde	KON	unde	unte
dort	AVD	dort	dort
:	$_	:	:
an	APPR	an	ane
im	PPER.Masc.Dat.Sg.3	im	ër
lac	VVFIN.Ind.Past.Sg.3	lac	ligen
ouch	AVD	ouch	ouch
ir	DPOSA.*.Gen.Pl.*	ire	ire
vröuden	NA.Fem.Gen.Sg.st	vröuweden	vröuwede
hort	NA.Masc.Nom.Sg.st	hort	hord
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
si	PPER.*.Akk.Pl.3	si	ër
gern	AVD	gerne	gërne
,	$_	,	,
si	PPER.*.Nom.Pl.3	si	ër
tâtn	VVFIN.Ind.Past.Pl.3	tâten	<unknown>
in	PPER.Masc.Akk.Sg.3	in	ër
sam	AVD	sam	same
.	$_	.	.
	
si	PPER.*.Nom.Pl.3	si	ër
wârn	VAFIN.Ind.Past.Pl.3	wârn	wësen
im	PPER.Masc.Dat.Sg.3	im	ër
dienstes	NA.Masc,Neut.Gen.Sg.st	dienestes	diènest
undertân	ADJD.Pos	undertân	untertân
ân	APPR	âne	âne
valsches	NA.Masc.Gen.Sg.st	valsches	valsch
riuwe	NA.Fem,Masc.Akk.Sg.*	riuwe	riuwe
.	$_	.	.
	
daz	DDS.Neut.Nom.Sg.*	daz	dër
macht	VMFIN.*.Past.Sg.3	mahte	mügen
sîn	DPOSA.Fem.Nom.Sg.*	sîn	sîn
güetlîch	ADJA.Pos.Fem.Nom.Sg.*	guotlich	guotlich
triuwe	NA.Fem.Nom.Sg.*	triuwe	triuwe
die	DRELS.Fem.Akk.Sg	die	dër
er	PPER.Masc.Nom.Sg.3	er	ër
in	PPER.*.Dat.Pl.3	in	ër
ze	APPR	ze	ze
allen	DIA.*.Dat.Pl.st	allen	all
zîten	NA.Fem,Neut.Dat.Pl.st	zîten	zît
bôt	VVFIN.Ind.Past.Sg.3	bôt	bièten
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
lie	VVFIN.Ind.Past.Sg.3	lie	lâzen
sie	PPER.Fem.Akk.Sg.3	sie	ër
selten	AVD	selten	sëltene
in	APPR	in	in
keiner	DIA.Fem.Dat.Sg.st	keiner	kèin
nôt	NA.Fem.Dat.Sg.st	nôt	nôt
:	$_	:	:
er	PPER.Masc.Nom.Sg.3	er	ër
hoeht	VVFIN.*.Past.Sg.3	hôhte	hoèhen
in	PPER.*.Dat.Pl.3	in	ër
williclîch	AVD	williclîche	williglîche
ir	DPOSA	ire	ire
muot	NA.Masc,Neut.Akk.Sg.st	muot	muot
,	$_	,	,
er	PPER.Masc.Nom.Sg.3	er	ër
gap	VVFIN.Ind.Past.Sg.3	gap	gëben
sô	AVD	sô	sô
rîchez	ADJA.Pos.Neut.Akk.Sg.st	rîchez	rîche
guot	NA.Neut.Akk.Sg.st	guot	guot
.	$_	.	.
	
si	PPER.*.Nom.Pl.3	si	ër
dienten	VVFIN.*.Past.Pl.3	dienten	diènen
im	PPER.Masc.Dat.Sg.3	im	ër
mêr	AVD.Comp	mêr	mêre
danne	KOKOM	danne	danne
mêr	AVD.Comp	mêr	mêre
:	$_	:	:
ze	APPR	ze	ze
dienste	NA.Masc,Neut.Dat.Sg.st	dieneste	diènest
was	VAFIN.Ind.Past.Sg.3	was	wësen
in	PPER.*.Dat.Pl.3	in	ër
alsô	AVD	alsô	allsô
ger	ADJD.Pos	ger	gir
daz	KOUS	daz	dazz
sie	PPER.*.Nom.Pl.3	sie	ër
ez	PPER.Neut.Akk.Sg.3	ez	ër
gerne	AVD	gerne	gërne
tâten	VVFIN.Ind.Past.Pl.3	tâten	tuon
.	$_	.	.
	
keinen	DIA.Masc.Akk.Sg.st	keinen	kèin
andern	DIA.Masc.Akk.Sg.st	andern	ander
muot	NA.Masc.Akk.Sg.st	muot	muot
si	PPER.*.Nom.Pl.3	si	ër
hâten	VAFIN.Ind.Past.Pl.3	hâten	haben
danne	AVD	danne	danne
der	DRELS.Masc.Nom.Sg	der	dër
im	PPER.Masc.Dat.Sg.3	im	ër
ze	APPR	ze	ze
dienste	NA.Masc,Neut.Dat.Sg.st	dieneste	diènest
stuont	VVFIN.Ind.Past.Sg.3	stuont	stân
,	$_	,	,
alsô	AVD	alsô	allsô
noch	AVD	noch	noh
al	DIA.*.Nom.Pl.*	al	all
die	DRELS.*.Nom.Pl	die	dër
gerne	AVD	gerne	gërne
tuont	VVFIN.Ind.Pres.Pl.3	tuont	tuon
die	DRELS.*.Nom.Pl	die	dër
ir	DPOSA	ire	ire
herren	NA.Masc.Gen.Sg.*	hêrren	hêrre
dienste	NA.Masc,Neut.Dat.Sg.st	dieneste	diènest
willec	ADJD.Pos	willich	willig
sint	VAFIN.Ind.Pres.Pl.3	sint	sîn
.	$_	.	.
	
waeren	VAFIN.Subj.Past.Pl.3	wæren	wësen
die	DDART.Masc.Nom.Pl.*	die	dër
vürste	NA.Masc.Nom.Pl.wk	vürste	vürste
nû	AVD	nû	nû
niht	PTKNEG	niht	niht
blint	ADJD.Pos	blint	blint
,	$_	,	,
so	AVD	sô	sô
gedaehten	VVFIN.Subj.Past.Pl.3	gedæhten	gedènken
si	PPER.Masc.Nom.Pl.3	si	ër
an	APPR	an	ane
dienste	NA.Masc,Neut.Dat.Sg.st	dieneste	diènest
nuo	AVD	nû	nû
alsô	KO*	alsô	allsô
die	DDART.Masc.Nom.Pl.*	die	dër
vürsten	NA.Masc.Nom.Pl.wk	vürsten	vürste
tâten	VVFIN.Ind.Past.Pl.3	tâten	tuon
duo	AVD	dô	dô
.	$_	.	.
	
dietwart	NE.Nom.Sg	Dietwart	Diètwart
der	DDART.Masc.Nom.Sg.*	der	dër
hôchgemuote	ADJA.Pos.Masc.Nom.Sg.wk	hôchgemuote	hôhgemuot
,	$_	,	,
der	DDART.Masc.Nom.Sg.*	der	dër
reine	ADJA.Pos.Masc.Nom.Sg.wk	reine	rèine
und	KON	und	unte
der	DDART.Masc.Nom.Sg.*	der	dër
guote	ADJA.Pos.Masc.Nom.Sg.wk	guote	guot
der	DDS.Masc.Nom.Sg.*	der	dër
minnete	VVFIN.*.Past.Sg.3	minnete	minnen
sô	AVD	sô	sô
vürstlîchen	ADJA.Pos.Masc.Akk.Sg.*	vürstlîchen	vürstelich
site	NA.Masc.Akk.Sg.*	site	site
und	KON	und	unte
liebt	VVFIN.*.Past.Sg.3	liebete	lièben
sô	AVD	sô	sô
sêre	AVD	sêre	sêre
sich	PRF.Akk.*.*	sich	sich
dâ	PAVD	dâ	dâr
mite	PAVAP	mite	mite
,	$_	,	,
daz	KOUS	daz	dazz
in	PPER.Masc.Akk.Sg.3	in	ër
die	DDART.*.Nom.Pl.*	die	dër
liute	NA.Masc.Nom.Pl.st	liute	liut
enwiderstrît	AVD	enwiderstrît	enwiderstrît
begunden	VVFIN.*.Past.Pl.3	begunden	beginnen
suochen	VVINF	suochen	suochen
alle	DIA.Fem.Akk.Sg.st	alle	all
zît	NA.Fem.Akk.Sg.st	zît	zît
swâ	AVG	swâ	swâr
er	PPER.Masc.Nom.Sg.3	er	ër
des	DDART.Neut.Gen.Sg.*	des	dër
landes	NA.Neut.Gen.Sg.st	landes	lant
kêrte	VVFIN.*.Past.Sg.3	kêrte	kêren
.	$_	.	.
	
sîn	DPOSA	sîn	sîn
reinez	ADJA.Pos.Neut.Nom.Sg.st	reinez	rèine
herze	NA.Neut.Nom.Sg.wk	herze	hërze
in	PPER.Masc.Akk.Sg.3	in	ër
lêrte	VVFIN.*.Past.Sg.3	lêrte	lêren
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
die	DDART.Fem.Akk.Sg.*	die	dër
