gedaehte	VVFIN.Subj.Past.Sg.3	gedæhte	gedènken
ez	PPER.Neut.Nom.Sg.3	ez	ër
zimet	VVFIN.Ind.Pres.Sg.3	zimet	zëmen
dem	DDART.Masc.Dat.Sg.*	dem	dër
man	NA.Masc.Dat.Sg.st	manne	mann
ze	APPR	ze	ze
lobene	NA.Neut.Dat.Sg.wk	lobene	loben
wol	AVD	wole	wole
,	$_	,	,
des	DRELS.Neut.Gen.Sg	des	dër
er	PPER.Masc.Nom.Sg.3	er	ër
iedoch	AVD	iedoch	ièdoh
bedürfen	VVINF	bedürfen	bedurfen
sol	VMFIN.Ind.Pres.Sg.3	sol	solen
,	$_	,	,
und	KON	und	unte
laze	VVFIN.Subj.Pres.Sg.3	lâze	lâzen
ez	PPER.Neut.Akk.Sg.3	ez	ër
ime	PPER.Masc.Dat.Sg.3	ime	ër
gevallen	VVINF	gevallen	gevallen
wol	AVD	wole	wole
,	$_	,	,
diewile	KOUS	die_wîle	diè_wîle
ez	PPER.Neut.Nom.Sg.3	ez	ër
ime	PPER.Masc.Dat.Sg.3	ime	ër
gevallen	VVINF	gevallen	gevallen
sol	VMFIN.Ind.Pres.Sg.3	sol	solen
.	$_	.	.
	
tiur	ADJD.Pos	tiur	tiure
unde	KON	unde	unte
wert	ADJD.Pos	wert	wërd
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
mir	PPER.*.Dat.Sg.1	mir	ich
der	DDART.Masc.Nom.Sg.*	der	dër
man	NA.Masc.Nom.Sg.st	man	mann
,	$_	,	,
der	DRELS.Masc.Nom.Sg	der	dër
guot	NA.Neut.Akk.Sg.st	guot	guot
und	KON	und	unte
übel	NA.Neut.Akk.Sg.st	übel	übel
betrahten	VVINF	betrahten	betrahten
kan	VMFIN.Ind.Pres.Sg.3	kan	kunnen
,	$_	,	,
der	DRELS.Masc.Nom.Sg	der	dër
mich	PPER.*.Akk.Sg.1	mich	ich
und	KON	und	unte
iegelichen	DIA.Masc.Akk.Sg.st	iegelîchen	iègelich
man	NA.Masc.Akk.Sg.st	man	mann
nach	APPR	nâch	nâh
sinem	DPOSA.Masc,Neut.Dat.Sg.st	sînem	sîn
werde	NA.Masc,Neut.Dat.Sg.st	werde	wërd
erkennen	VVINF	erkennen	erkènnen
kan	VMFIN.Ind.Pres.Sg.3	kan	kunnen
.	$_	.	.
	
ere	NA.Fem.Nom.Sg.*	êre	êre
unde	KON	unde	unte
lop	NA.Masc,Neut.Nom.Sg.st	lop	lob
diu	DDS.Fem.Nom.Sg.*	diu	dër
schepfent	VVFIN.Ind.Pres.Pl.3	schepfent	schèpfen
list	NA.Fem.Akk.Sg.st	list	list
,	$_	,	,
da	AVD	dâ	dâr
list	NA.Fem,Masc.Nom.Sg.st	list	list
ze	APPR	ze	ze
lobe	NA.Masc,Neut.Dat.Sg.st	lobe	lob
geschaffen	VVPP	geschaffen	schèpfen
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
:	$_	:	:
swa	AVG	swâ	swâr
er	PPER.Masc.Nom.Sg.3	er	ër
mit	APPR	mit	mit
lobe	NA.Masc,Neut.Dat.Sg.st	lobe	lob
geblüemet	VVPP	geblüemet	blüèmen
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
,	$_	,	,
da	AVD	dâ	dâr
blüejet	VVFIN.Ind.Pres.Sg.3	blüejet	blüèjen
aller	DIA.Fem.Gen.Sg.st	aller	all
slahte	NA.Fem.Gen.Sg.st	slahte	slahte
list	NA.Fem,Masc.Nom.Sg.st	list	list
.	$_	.	.
	
reht	AVD	reht	rëhte
als	KO*	als	allsô
daz	DDART.Neut.Nom.Sg.*	daz	dër
dinc	NA.Neut.Nom.Sg.st	dinc	ding
zunruoche	APPR|NA.Fem.Dat.Sg.st	ze|unruoche	ze|unruoche
gat	VVFIN.Ind.Pres.Sg.3	gât	gân
,	$_	,	,
daz	DRELS.Neut.Nom.Sg	daz	dër
lobes	NA.Masc,Neut.Gen.Sg.st	lobes	lob
noch	KON	noch	noh
ere	NA.Fem.Akk.Sg.st	êre	êre
niene	AVD	niene	niène
hat	VAFIN.Ind.Pres.Sg.3	hât	haben
,	$_	,	,
als	AVD	als	allsô
liebet	VVFIN.Ind.Pres.Sg.3	liebet	lièben
daz	DDS.Neut.Nom.Sg.*	daz	dër
,	$_	,	,
daz	DRELS.Neut.Nom.Sg	daz	dër
ere	NA.Fem.Akk.Sg.st	êre	êre
hat	VAFIN.Ind.Pres.Sg.3	hât	haben
und	KON	und	unte
sines	DPOSA.Masc,Neut.Gen.Sg.st	sînes	sîn
lobes	NA.Masc,Neut.Gen.Sg.st	lobes	lob
niht	PTKNEG	niht	niht
irre	ADJD.Pos	irre	irre
gat	VVFIN.Ind.Pres.Sg.3	gât	gân
.	$_	.	.
	
ir	PPER.*.Gen.Pl.3	ir	ër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
so	AVD	sô	sô
vil	NA.Neut.Nom.Sg.st	vile	vile
,	$_	,	,
die	DRELS.*.Nom.Pl	die	dër
des	DDS.Neut.Gen.Sg.*	des	dër
nu	AVD	nû	nû
pflegent	VVFIN.Ind.Pres.Pl.3	pflegent	pflëgen
,	$_	,	,
daz	KOUS	daz	dazz
si	PPER.*.Nom.Pl.3	si	ër
daz	DDART.Neut.Akk.Sg.*	daz	dër
guote	ADJA.Pos.Neut.Akk.Sg.wk	guote	guot
zübele	NA.Neut.Akk.Sg.st	zübele	zübel
wegent	VVFIN.Ind.Pres.Pl.3	wegent	wëgen
,	$_	,	,
daz	DDART.Neut.Akk.Sg.*	daz	dër
übel	NA.Neut.Akk.Sg.st	übel	übel
wider	AVD	wider	widere
ze	APPR	ze	ze
guote	NA.Neut.Dat.Sg.st	guote	guot
wegent	VVFIN.Ind.Pres.Pl.3	wegent	wëgen
:	$_	:	:
die	DDS.*.Nom.Pl.*	die	dër
pflegent	VVFIN.Ind.Pres.Pl.3	pflegent	pflëgen
niht	PTKNEG	niht	niht
,	$_	,	,
si	PPER.*.Nom.Pl.3	si	ër
widerpflegent	VVFIN.Ind.Pres.Pl.3	widerpflegent	widerpflëgen
.	$_	.	.
	
cunst	NA.Fem.Nom.Sg.st	kunst	kunst
unde	KON	unde	unte
nahe	AVD	nâhe	nâhe
sehender	ADJA.Pos.Masc.Nom.Sg.st	sehender	sëhen
sin	NA.Masc.Nom.Sg.st	sin	sinn
swie	AVG	swie	swiè
wol	AVD	wole	wole
diu	DDS.Neut.Nom.Pl.*	diu	dër
schinen	VVFIN.*.Pres.Pl.3	schînen	schînen
under	APPR	under	unter
in	PRF.Dat.Pl.st	in	ër
,	$_	,	,
geherberget	VVFIN.Ind.Pres.Sg.3	geherberget	gehèrebërgen
nit	PTKNEG	niet	niht
zuozin	APPR|PPER.*.Dat.Pl.3	zuoze|in	zuoze|ër
,	$_	,	,
er	PPER.Masc.Nom.Sg.3	er	ër
leschet	VVFIN.Ind.Pres.Sg.3	leschet	lèschen
kunst	NA.Fem.Akk.Sg.st	kunst	kunst
unde	KON	unde	unte
sin	NA.Masc.Akk.Sg.st	sin	sinn
.	$_	.	.
	
hei	ITJ	hei	hèi
tugent	NA.Fem.Nom.Sg.*	tugent	tugende
,	$_	,	,
wie	AVW	wie	wiè
smal	ADJD.Pos	smal	smal
sint	VAFIN.Ind.Pres.Pl.3	sint	sîn
dine	DPOSA.*.Nom.Pl.st	dîne	dîn
stege	NA.Masc.Nom.Pl.st	stege	stëg
,	$_	,	,
wie	AVW	wie	wiè
kumberlich	ADJD.Pos	kumberlich	kumberlich
sint	VAFIN.Ind.Pres.Pl.3	sint	sîn
dine	DPOSA.*.Nom.Pl.st	dîne	dîn
wege	NA.Masc.Nom.Pl.st	wege	wëg
!	$_	!	!
	
die	DDART.*.Nom.Pl.*	die	dër
dine	DPOSA.*.Nom.Pl.st	dîne	dîn
stege	NA.Masc.Nom.Pl.st	stege	stëg
,	$_	,	,
die	DDART.*.Nom.Pl.*	die	dër
dine	DPOSA.*.Nom.Pl.st	dîne	dîn
wege	NA.Masc.Nom.Pl.st	wege	wëg
,	$_	,	,
wol	AVD	wole	wole
ime	PPER.Masc.Dat.Sg.3	ime	ër
,	$_	,	,
der	DRELS.Masc.Nom.Sg	der	dër
si	PPER.*.Akk.Pl.3	si	ër
wege	VVFIN.Subj.Pres.Sg.3	wege	wëgen
unde	KON	unde	unte
stege	VVFIN.Subj.Pres.Sg.3	stege	stëgen
!	$_	!	!
	
tribe	VVFIN.Subj.Past.Sg.1	tribe	trîben
ich	PPER.*.Nom.Sg.1	ich	ich
die	DDART.Fem.Akk.Sg.*	die	dër
zit	NA.Fem.Akk.Sg.st	zît	zît
vergebene	AVD	vergebene	vergëbene
hin	AVD	hin	hine
,	$_	,	,
so	AVD	sô	sô
zitic	ADJD.Pos	zîtic	zîtig
ich	PPER.*.Nom.Sg.1	ich	ich
ze	APPR	ze	ze
lebene	NA.Neut.Dat.Sg.wk	lebene	lëben
bin	VAFIN.Ind.Pres.Sg.1	bin	sîn
,	$_	,	,
son	AVD|PTKNEG	sô|ne	sô|ne
var	VVFIN.*.Pres.Sg.1	var	varen
ich	PPER.*.Nom.Sg.1	ich	ich
in	APPR	in	in
der	DDART.Fem.Dat.Sg.*	der	dër
werlt	NA.Fem.Dat.Sg.st	werlt	wërelt
sus	AVD	sus	sus
hin	AVD	hin	hine
niht	PTKNEG	niht	niht
so	AVD	sô	sô
gewerldet	VVPP	gewerlt	wërelten
,	$_	,	,
alse	KO*	alse	allsô
ich	PPER.*.Nom.Sg.1	ich	ich
bin	VAFIN.Ind.Pres.Sg.1	bin	sîn
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
han	VAFIN.Ind.Pres.Sg.1	hân	haben
mir	PPER.*.Dat.Sg.1	mir	ich
eine	DIART.Fem.Akk.Sg.st	eine	èin
unmüezekeit	NA.Fem.Akk.Sg.st	unmüezicheit	unmüèzighèit
der	DDART.Fem.Gen.Sg.*	der	dër
werlt	NA.Fem.Gen.Sg.st	werlt	wërelt
ze	APPR	ze	ze
liebe	NA.Fem.Dat.Sg.st	liebe	lièbe
vür	PTKVZ	vür	vüre
geleit	VVPP	geleit	lègen
und	KON	und	unte
edelen	ADJA.Pos.*.Dat.Pl.*	edelen	èdele
herzen	NA.Neut.Dat.Pl.wk	herzen	hërze
zeiner	APPR|DIART.Fem.Dat.Sg.st	ze|einer	ze|èin
hage	NA.Fem.Dat.Sg.st	hage	hage
,	$_	,	,
den	DDART.*.Dat.Pl.*	den	dër
herzen	NA.Neut.Dat.Pl.wk	herzen	hërze
,	$_	,	,
den	DRELS.*.Dat.Pl	den	dër
ich	PPER.*.Nom.Sg.1	ich	ich
herze	NA.Neut.Akk.Sg.wk	herze	hërze
trage	VVFIN.*.Pres.Sg.1	trage	tragen
,	$_	,	,
der	DDART.Fem.Gen.Sg.*	der	dër
werlde	NA.Fem.Gen.Sg.st	werlte	wërelt
,	$_	,	,
in	APPR	in	in
die	DRELS.Fem.Akk.Sg	die	dër
min	DPOSA.Neut.Nom.Sg.*	mîn	mîn
herze	NA.Neut.Nom.Sg.wk	herze	hërze
siht	VVFIN.Ind.Pres.Sg.3	sihet	sëhen
.	$_	.	.
	
ine	PPER.*.Nom.Sg.1|PTKNEG	ich|ne	ich|ne
meine	VVFIN.*.Pres.Sg.1	meine	mèinen
ir	PPER.*.Gen.Pl.3	ir	ër
aller	DID.*.Gen.Pl.st	aller	all
werlde	NA.Fem.Akk.Sg.st	werlt	wërelt
niht	PTKNEG	niht	niht
als	KO*	als	allsô
die	DDART.*.Nom.Pl.*	die	dër
,	$_	,	,
von	APPR	von	von
der	DRELS.Fem.Dat.Sg	der	dër
ich	PPER.*.Nom.Sg.1	ich	ich
hoere	VVFIN.*.Pres.Sg.1	hoere	hoèren
sagen	VVINF	sagen	sagen
,	$_	,	,
diukeine	DIA.Fem.Nom.Sg.st	decheine	dehèin
swaere	NA.Fem.Akk.Sg.st	swære	swære
enmüge	PTKNEG|VMFIN.Subj.Pres.Sg.3	en|müge	ne|mügen
getragen	VVINF	getragen	getragen
und	KON	und	unte
niwan	AVD	niuwan	niuwan
in	APPR	in	in
vröuden	NA.Fem.Dat.Pl.*	vröuweden	vröuwede
welle	VMFIN.Subj.Pres.Sg.3	welle	wèllen
sweben	VVINF	sweben	swëben
:	$_	:	:
die	DDS.*.Akk.Pl.*	die	dër
laze	VVFIN.Subj.Pres.Sg.3	lâze	lâzen
ouch	AVD	ouch	ouch
got	NA.Masc.Nom.Sg.st	got	got
mit	APPR	mit	mit
vröuden	NA.Fem.Dat.Pl.*	vröuweden	vröuwede
leben	VVINF	leben	lëben
!	$_	!	!
	
der	DDART.Fem.Dat.Sg.*	der	dër
werlde	NA.Fem.Dat.Sg.st	werlte	wërelt
und	KON	und	unte
diseme	DDA.Masc,Neut.Dat.Sg.*	diseme	dise
lebene	NA.Masc,Neut.Dat.Sg.st	lebene	lëben
enkumt	PTKNEG|VVFIN.Ind.Pres.Sg.3	en|kumet	ne|komen
min	DPOSA.Fem.Nom.Sg.*	mîn	mîn
rede	NA.Fem.Nom.Sg.*	rede	rède
niht	PTKNEG	niht	niht
ebene	AVD	ebene	ëbene
:	$_	:	:
ir	DPOSA.Neut.Nom.Sg.*	ire	ire
leben	NA.Masc,Neut.Nom.Sg.st	leben	lëben
und	KON	und	unte
minez	DPOSS.Neut.Nom.Sg.st	mînez	mîn
zweient	VVFIN.Ind.Pres.Pl.3	zweient	zwèien
sich	PRF.Akk.*.*	sich	sich
.	$_	.	.
	
ein	DIART.Fem.Akk.Sg.*	ein	èin
ander	DIA.Fem.Akk.Sg.*	ander	ander
werlt	NA.Fem.Akk.Sg.st	werlt	wërelt
die	DDS.Fem.Akk.Sg.*	die	dër
meine	VVFIN.*.Pres.Sg.1	meine	mèinen
ich	PPER.*.Nom.Sg.1	ich	ich
,	$_	,	,
diu	DDART.Fem.Nom.Sg.*	diu	dër
samet	AVD	samet	sament
in	APPR	in	in
eime	DIART.Neut.Dat.Sg.st	eineme	èin
herzen	NA.Neut.Dat.Sg.wk	herzen	hërze
treit	VVFIN.Ind.Pres.Sg.3	treit	tragen
ir	DPOSA	ire	ire
süeze	NA.Masc.Akk.Pl.st	süeze	süèze
sur,	$_	siur	<unknown>
ir	DPOSA	ire	ire
liebez	ADJA.Pos.Neut.Akk.Sg.st	liebez	lièb
leit	NA.Neut.Akk.Sg.st	leit	lèid
,	$_	,	,
ir	DPOSA	ire	ire
herzeliep	NA.Neut.Akk.Sg.st	herzeliep	hërzenlièb
,	$_	,	,
irsenede	ADJA.Pos.Fem.Akk.Sg.st	ersenete	ersènen
not	NA.Fem.Akk.Sg.st	nôt	nôt
,	$_	,	,
ir	DPOSA	ire	ire
liebez	ADJA.Pos.Neut.Akk.Sg.st	liebez	lièb
leben	NA.Neut.Akk.Sg.st	leben	lëben
,	$_	,	,
ir	DPOSA.Masc.Akk.Sg.*	ire	ire
leiden	ADJA.Pos.Masc.Akk.Sg.*	leiden	lèid
tot	NA.Masc.Akk.Sg.st	tôt	tôd
,	$_	,	,
ir	DPOSA.Masc.Akk.Sg.*	ire	ire
lieben	ADJA.Pos.Masc.Akk.Sg.*	lieben	lièb
tot	NA.Masc.Akk.Sg.st	tôt	tôd
,	$_	,	,
ir	DPOSA	ire	ire
leidez	ADJA.Pos.Neut.Akk.Sg.st	leidez	lèid
leben	NA.Neut.Akk.Sg.st	leben	lëben
:	$_	:	:
dem	DDART.Masc,Neut.Dat.Sg.*	dem	dër
lebene	NA.Masc,Neut.Dat.Sg.st	lebene	lëben
si	VAFIN.Subj.Pres.Sg.3	sî	sîn
min	DPOSA.Masc,Neut.Nom.Sg.*	mîn	mîn
leben	NA.Masc,Neut.Nom.Sg.st	leben	lëben
ergeben	VVPP	ergeben	ergëben
,	$_	,	,
der	DDART.Fem.Dat.Sg.*	der	dër
werlt	NA.Fem.Dat.Sg.st	werlt	wërelt
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
ich	PPER.*.Nom.Sg.1	ich	ich
gewerldet	VVPP	gewerlt	wërelten
wesen	VAINF	wesen	wësen
,	$_	,	,
mit	APPR	mit	mit
ir	PPER.Fem.Dat.Sg.3	ir	ër
verderben	VVINF	verderben	verdërben
oder	KON	oder	oder
genesen	VVINF	genesen	genësen
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
bin	VAFIN.Ind.Pres.Sg.1	bin	sîn
mit	APPR	mit	mit
ir	PPER.Fem.Dat.Sg.3	ir	ër
biz	AVD	biz	biz
her	AVD	her	hëre
beliben	VVPP	beliben	belîben
und	KON	und	unte
han	VAFIN.Ind.Pres.Sg.1	hân	haben
mit	APPR	mit	mit
ir	PPER.Fem.Dat.Sg.3	ir	ër
die	DDART.Masc.Akk.Pl.*	die	dër
tage	NA.Masc.Akk.Pl.st	tage	tag
vertriben	VVPP	vertriben	vertrîben
,	$_	,	,
die	DRELS.Masc.Nom.Pl	die	dër
mir	PPER.*.Dat.Sg.1	mir	ich
uf	PTKVZ	ûf	ûf
nahe	AVD	nâhe	nâhe
gendem	ADJA.Pos.Masc,Neut.Dat.Sg.st	gêntem	gân
leben	NA.Masc,Neut.Dat.Sg.st	lebene	lëben
lere	NA.Fem.Akk.Sg.st	lêre	lêre
unde	KON	unde	unte
geleite	NA.Neut.Akk.Sg.st	geleite	gelèite
solten	VMFIN.*.Past.Pl.3	solten	solen
geben	VVINF	geben	gëben
:	$_	:	:
der	DDS.*.Gen.Pl.*	der	dër
han	VAFIN.Ind.Pres.Sg.1	hân	haben
ich	PPER.*.Nom.Sg.1	ich	ich
mine	DPOSA.Fem.Akk.Sg.st	mîne	mîn
unmüezekeit	NA.Fem.Akk.Sg.st	unmüezicheit	unmüèzighèit
ze	APPR	ze	ze
kurzewile	NA.Fem.Dat.Sg.st	kurzewîle	kurzewîle
vür	PTKVZ	vür	vüre
geleit	VVPP	geleit	lègen
,	$_	,	,
daz	KOUS	daz	dazz
si	PPER.*.Nom.Pl.3	si	ër
mit	APPR	mit	mit
minem	DPOSA.Neut.Dat.Sg.st	mînem	mîn
maere	NA.Neut.Dat.Sg.st	mære	mære
ir	DPOSA	ire	ire
nahe	AVD	nâhe	nâhe
gende	VVPS	gênte	gân
swaere	NA.Fem.Akk.Sg.st	swære	swære
ze	APPR	ze	ze
halber	ADJA.Pos.Fem.Dat.Sg.st	halber	halb
senfte	NA.Fem.Dat.Sg.st	senfte	sèmfte
bringe	VVFIN.Subj.Pres.Sg.3	bringe	bringen
,	$_	,	,
ir	DPOSA.Fem.Akk.Sg.*	ire	ire
not	NA.Fem.Akk.Sg.st	nôt	nôt
damite	PAVD|PAVAP	dâ|mite	dâr|mite
geringe	VVFIN.Subj.Pres.Sg.3	geringe	geringen
.	$_	.	.
	
wan	KO*	wan	wante
swer	PG.Masc.Nom.Sg.st	swer	swër
des	DDS.Neut.Gen.Sg.*	des	dër
iht	NA.Neut.Akk.Sg.st	iht	iht
vor	APPR	vore	vore
ougen	NA.Neut.Dat.Pl.wk	ougen	ouge
hat	VAFIN.Ind.Pres.Sg.3	hât	haben
,	$_	,	,
damite	PAVD|PAVAP	dâ|mite	dâr|mite
der	DDART.Masc.Nom.Sg.*	der	dër
muot	NA.Masc.Nom.Sg.st	muot	muot
zunmuoze	APPR|NA.Fem.Dat.Sg.st	ze|unmuoze	ze|unmuoze
gat	VVFIN.Ind.Pres.Sg.3	gât	gân
,	$_	,	,
daz	DDS.Neut.Nom.Sg.*	daz	dër
entsorget	VVFIN.Ind.Pres.Sg.3	entsorget	entsorgen
sorgehaften	ADJA.Pos.Masc.Akk.Sg.*	sorgehaften	sorgehaft
muot	NA.Masc.Akk.Sg.st	muot	muot
,	$_	,	,
daz	DDS.Neut.Nom.Sg.*	daz	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
ze	APPR	ze	ze
herzesorgen	NA.Fem.Dat.Sg.st	herzesorgen	hërzensorge
guot	ADJD.Pos	guot	guot
.	$_	.	.
	
ir	PPER.*.Gen.Pl.3	ir	ër
aller	DIS.*.Gen.Pl.st	aller	all
volge	NA.Fem.Nom.Sg.*	volge	volge
diust	DDS.Fem.Nom.Sg.*|VAFIN.Ind.Pres.Sg.3	diu|ist	dër|sîn
dar	PAVD	dâr	dâr
an	PAVAP	an	ane
:	$_	:	:
swa	AVG	swâ	swâr
so	PTK	sô	sô
der	DDART.Masc.Nom.Sg.*	der	dër
müezege	ADJA.Pos.Masc.Nom.Sg.wk	müezige	müèzig
man	NA.Masc.Nom.Sg.st	man	mann
mit	APPR	mit	mit
senedem	ADJA.Pos.Masc.Dat.Sg.st	senendem	sènente
schaden	NA.Masc.Dat.Sg.*	schaden	schade
si	VAFIN.Subj.Pres.Sg.3	sî	sîn
überladen	VVPP	überladen	überladen
,	$_	,	,
da	AVD	dâ	dâr
mere	AVD.Comp	mêre	mêre
muoze	VMFIN.Subj.Pres.Sg.3	müeze	müèzen
seneden	VVINF	senden	sènten
schaden	NA.Masc.Akk.Sg.*	schaden	schade
.	$_	.	.
	
bi	APPR	bî	bî
senedem	ADJA.Pos.Neut.Dat.Sg.st	senendem	sènente
leide	NA.Neut.Dat.Sg.st	leide	lèid
müezekeit	NA.Fem.Nom.Sg.st	müezicheit	müèzighèit
,	$_	,	,
da	AVD	dâ	dâr
wahset	VVFIN.Ind.Pres.Sg.3	wehset	wahsen
iemer	AVD	iemer	ièmer
senede	NA.Fem.Akk.Sg.st	senede	sènede
leit	NA.Neut.Nom.Sg.st	leit	lèid
.	$_	.	.
	
durch	APPR	durch	durh
daz	DDS.Neut.Akk.Sg.*	daz	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
guot	ADJD.Pos	guot	guot
,	$_	,	,
swer	PG.Masc.Nom.Sg.st	swer	swër
herzeclage	NA.Fem.Akk.Sg.st	herzeklage	hërzenklage
und	KON	und	unte
senede	ADJA.Pos	senende	sènente
not	NA.Fem.Akk.Sg.st	nôt	nôt
ze	APPR	ze	ze
herzen	NA.Neut.Dat.Sg.wk	herzen	hërze
trage	VVFIN.Subj.Pres.Sg.3	trage	tragen
,	$_	,	,
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
mit	APPR	mit	mit
allem	DIA.Masc.Dat.Sg.st	allem	all
ruoche	NA.Masc.Dat.Sg.st	ruoche	ruoch
dem	DDART.Masc.Dat.Sg.*	dem	dër
libe	NA.Masc.Dat.Sg.st	lîbe	lîb
unmuoze	NA.Fem.Akk.Sg.st	unmuoze	unmuoze
suoche	VVFIN.Subj.Pres.Sg.3	suoche	suochen
:	$_	:	:
damite	PAVD|PAVAP	dâ|mite	dâr|mite
so	AVD	sô	sô
müezeget	VVFIN.Ind.Pres.Sg.3	müeziget	müèzigen
der	DDART.Masc.Nom.Sg.*	der	dër
muot	NA.Masc.Nom.Sg.st	muot	muot
und	KON	und	unte
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
dem	DDART.Masc,Neut.Dat.Sg.*	dem	dër
muote	NA.Masc,Neut.Dat.Sg.st	muote	muot
ein	DIART	ein	èin
michel	ADJA.Pos	michel	michel
guot	NA.Neut.Nom.Sg.st	guot	guot
;	$_	;	;
und	KON	und	unte
gerate	VVFIN.*.Pres.Sg.1	gerâte	gerâten
ich	PPER.*.Nom.Sg.1	ich	ich
niemer	AVD	niemer	nièmer
doch	AVD	doch	doh
dar	PAVD	dâr	dâr
an	PAVAP	an	ane
,	$_	,	,
daz	DDS.Neut.Akk.Sg.*	daz	dër
iemer	AVD	iemer	ièmer
liebe	ADJA.Pos.Masc.Nom.Sg.wk	liebe	lièb
gernde	ADJA.Pos.Masc.Nom.Sg.wk	gernte	gëren
man	NA.Masc.Nom.Sg.st	man	mann
dekeine	DIA.Fem.Akk.Sg.st	deceine	dehèin
solhe	DDA.Fem.Akk.Sg.st	soliche	solich
unmuoze	NA.Fem.Akk.Sg.st	unmuoze	unmuoze
im	PPER.Masc.Dat.Sg.3	im	ër
neme	VVFIN.Subj.Pres.Sg.3	neme	nëmen
,	$_	,	,
