ir	PPER.*.Nom.Pl.2	ir	ir
jâmerlîche	AVD	jâmerlîche	jâmerlîche
tôt	ADJD.Pos	tôt	tôt
.	$_	.	.
	
dâ	AVD	dâ	dâr
was	VAFIN.Ind.Past.Sg.3	was	wësen
vile	AVD	vile	vile
michel	ADJA.Pos.Fem.Nom.Sg.*	michel	michel
nôt	NA.Fem.Nom.Sg.st	nôt	nôt
,	$_	,	,
dô	KOUS	dô	dô
man	PI.*.Nom.Sg.st	man	man
die	DDART.Fem.Akk.Sg.*	die	dër
borch	NA.Fem.Akk.Sg.st	burc	burg
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
vallen	VVINF	vallen	vallen
,	$_	,	,
under	APPR	under	unter
den	DDART.*.Dat.Pl.*	den	dër
lûten	NA.Masc,Neut.Dat.Pl.st	liuten	liut
allen	DIN.*.Dat.Pl.st	allen	all
,	$_	,	,
der	DRELS.*.Gen.Pl	der	dër
vile	AVD	vile	vile
lutzel	NA.Neut.Nom.Sg.st	lützel	lützel
dâ	AVD	dâ	dâr
genas	VVFIN.Ind.Past.Sg.3	genas	genësen
.	$_	.	.
	
manech	DIA.Neut.Nom.Sg.*	manic	manig
rîche	ADJA.Pos.Masc,Neut.Nom.Sg.*	rîche	rîche
palas	NA.Masc,Neut.Nom.Sg.st	palas	palas
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
dâ	AVD	dâ	dâr
zefûret	VVPP	zevüeret	zervüèren
von	APPR	von	von
marmore	NE.Dat.Sg	Marmore	Marmor
gemûret	VVPP	gemûret	mûren
unde	KON	unde	unte
manech	DIA.Neut.Nom.Sg.*	manic	manig
gût	ADJA.Pos.Neut.Nom.Sg.*	guot	guot
hûs	NA.Neut.Nom.Sg.st	hûs	hûs
.	$_	.	.
	
dô	AVD	dô	dô
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
der	DDART.Masc.Nom.Sg.*	der	dër
kunich	NA.Masc.Nom.Sg.st	küninc	küning
prîamûs	NE.Nom.Sg	Priamus	Priamus
dar	PAVD	dâr	dâr
inne	PAVAP	inne	inne
erslagen	VVPP	erslagen	erslahen
ze	APPR	ze	ze
tôde	NA.Masc.Dat.Sg.st	tôde	tôd
:	$_	:	:
aleine	AVD	aleine	allèine
storber	VVFIN.Ind.Past.Sg.3|PPER.Masc.Nom.Sg.3	sturp|er	stërben|ër
nôde	AVD	nôte	nôte
,	$_	,	,
her	PPER.Masc.Nom.Sg.3	her	ër
nam	VVFIN.Ind.Past.Sg.3	nam	nëmen
sîn	DPOSA	sîn	sîn
ende	NA.Neut.Akk.Sg.st	ende	ènde
schiere	AVD	schiere	schière
und	KON	und	unte
sîner	DPOSA.*.Gen.Pl.st	sîner	sîn
sune	NA.Masc.Gen.Pl.st	süne	sun
viere	CARDS.Masc.Akk.Pl.st	viere	vièr
:	$_	:	:
ez	PPER.Neut.Nom.Sg.3	ez	ër
mûste	VMFIN.*.Past.Sg.3	muoste	müèzen
dâ	AVD	dâ	dâr
alsô	AVD	alsô	allsô
wesen	VAINF	wesen	wësen
,	$_	,	,
dâ	AVD	dâ	dâr
ne	PTKNEG	ne	ne
mohte	VMFIN.*.Past.Sg.3	mohte	mügen
nieman	DIA.*.Nom.Sg.st	nieman	nièmannd
genesen	VVINF	genesen	genësen
der	DDART.*.Gen.Pl.*	der	dër
gesunden	ADJA.Pos.*.Gen.Pl.wk	gesunden	gesunt
noch	KON	noch	noh
der	DDART.*.Gen.Pl.*	der	dër
siechen	ADJA.Pos.*.Gen.Pl.wk	siechen	sièch
,	$_	,	,
sint	KOUS	sint	sint
daz	KOUS	daz	dazz
die	DDART.*.Nom.Pl.*	die	dër
criechen	NA.Masc.Nom.Pl.*	Kriechen	Krièche
in	APPR	in	in
die	DDART.Fem.Akk.Sg.*	die	dër
borch	NA.Fem.Akk.Sg.st	burc	burg
quâmen	VVFIN.Ind.Past.Pl.3	quâmen	komen
.	$_	.	.
	
elenam	NE.Akk.Sg	Elenam	Helena
si	PPER.Masc.Nom.Pl.3	si	ër
nâmen	VVFIN.Ind.Past.Pl.3	nâmen	nëmen
und	KON	und	unte
gâben	VVFIN.Ind.Past.Pl.3	gâben	gëben
si	PPER.Fem.Akk.Sg.3	si	ër
menelâô	NE.Dat.Sg	Menelaô	Menelaus
wider	PTKVZ	wider	widere
und	KON	und	unte
brâchen	VVFIN.Ind.Past.Pl.3	brâchen	brëchen
troien	NE.Akk.Sg	Trôjen	Trôja
dernider	PAVD|PAVAP	dâr|nider	dâr|nidere
.	$_	.	.
	
in	APPR	in	in
der	DDART.Fem.Dat.Sg.*	der	dër
borch	NA.Fem.Dat.Sg.st	burc	burg
an	APPR	an	ane
einem	DIART.Masc,Neut.Dat.Sg.st	einem	èin
ende	NA.Masc,Neut.Dat.Sg.st	ende	ènte
,	$_	,	,
entgegen	APPR	engegen	engègen
dem	DDART.Masc.Dat.Sg.*	dem	dër
sundern	ADJA.Pos.Masc.Dat.Sg.wk	sundern	sunder
winde	NA.Masc.Dat.Sg.st	winde	wint
,	$_	,	,
dâ	AVD	dâ	dâr
wonete	VVFIN.*.Past.Sg.3	wonete	wonen
ein	DIART	ein	èin
rîche	ADJA.Pos.Masc.Nom.Sg.wk	rîche	rîche
man	NA.Masc.Nom.Sg.st	man	mann
,	$_	,	,
den	DRELS.Masc.Akk.Sg	den	dër
ich	PPER.*.Nom.Sg.1	ich	ich
genennen	VVINF	genennen	genènnen
wole	AVD	wole	wole
kan	VMFIN.Ind.Pres.Sg.1	kan	kunnen
:	$_	:	:
daz	DDS.Neut.Nom.Sg.*	daz	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
der	DDART.Masc.Nom.Sg.*	der	dër
hêre	ADJA.Pos.Masc.Nom.Sg.wk	hêre	hêre
ênêas	NE.Nom.Sg	Eneas	Eneas
,	$_	,	,
der	DRELS.Masc.Nom.Sg	der	dër
dâ	AVD	dâ	dâr
herzoge	NA.Masc.Nom.Sg.*	herzoge	hèrezoge
was	VAFIN.Ind.Past.Sg.3	was	wësen
.	$_	.	.
	
des	DDART.Masc.Gen.Sg.*	des	dër
kuneges	NA.Masc.Gen.Sg.st	küninges	küning
tohter	NA.Fem.Nom.Sg.st	tohter	tohter
was	VAFIN.Ind.Past.Sg.3	was	wësen
sîn	DPOSA	sîn	sîn
wîb	NA.Neut.Nom.Sg.st	wîp	wîb
.	$_	.	.
	
der	DDS.Masc.Nom.Sg.*	der	dër
generete	VVFIN.*.Past.Sg.3	generete	genèren
sînen	DPOSA.Masc.Akk.Sg.st	sînen	sîn
lîb	NA.Masc.Akk.Sg.st	lîp	lîb
.	$_	.	.
	
virgilîûs	NE.Nom.Sg	Virgilius	Virgilius
der	DDART.Masc.Nom.Sg.*	der	dër
mâre	ADJA.Pos.Masc.Nom.Sg.wk	mære	mære
,	$_	,	,
der	DDS.Masc.Nom.Sg.*	der	dër
saget	VVFIN.Ind.Pres.Sg.3	saget	sagen
uns	PPER.*.Dat.Pl.1	uns	wir
,	$_	,	,
daz	KOUS	daz	dazz
her	PPER.Masc.Nom.Sg.3	her	ër
wâre	VAFIN.Subj.Past.Sg.3	wære	wësen
von	APPR	von	von
der	DDART.*.Gen.Pl.*	der	dër
gote	NA.Masc.Gen.Pl.st	gote	got
geslehte	NA.Neut.Dat.Sg.st	geslehte	geslèhte
geboren	VVPP	geboren	gebëren
mit	APPR	mit	mit
rehte	NA.Neut.Dat.Sg.st	rehte	rëht
,	$_	,	,
und	KON	und	unte
vênûs	NE.Nom.Sg	Vênus	Venus
diu	DDART.Fem.Nom.Sg.*	diu	dër
gotinne	NA.Fem.Nom.Sg.*	gotinne	gotinne
,	$_	,	,
diu	DDART.Fem.Nom.Sg.*	diu	dër
frowe	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
is	VAFIN.Ind.Pres.Sg.3	is	sîn
uber	APPR	über	über
die	DDART.Fem.Akk.Sg.*	die	dër
minne	NA.Fem.Akk.Sg.st	minne	minne
,	$_	,	,
wâre	VAFIN.Subj.Past.Sg.3	wære	wësen
sîn	DPOSA.Fem.Nom.Sg.*	sîn	sîn
mûder	NA.Fem.Nom.Sg.st	muoter	muoter
und	KON	und	unte
cupidô	NE.Nom.Sg	Cupido	Cupido
sîn	DPOSA	sîn	sîn
brûder	NA.Masc.Nom.Sg.st	bruoder	bruoder
.	$_	.	.
	
dô	KOUS	dô	dô
ez	PPER.Neut.Nom.Sg.3	ez	ër
alsô	AVD	alsô	allsô
quam	VVFIN.Ind.Past.Sg.3	quam	komen
,	$_	,	,
daz	KOUS	daz	dazz
menelaus	NE.Nom.Sg	Menelaus	Menelaus
den	DDART.Masc.Akk.Sg.*	den	dër
sige	NA.Masc.Akk.Sg.*	sige	sige
nam	VVFIN.Ind.Past.Sg.3	nam	nëmen
unde	KON	unde	unte
troien	NE.Akk.Sg	Trôjen	Trôja
zebrach	VVFIN.Ind.Past.Sg.3	zerbrach	zerbrëchen
unde	KON	unde	unte
sîn	DPOSA.Neut.Akk.Sg.*	sîn	sîn
leit	NA.Neut.Akk.Sg.st	leit	lèid
gerach	VVFIN.Ind.Past.Sg.3	gerach	gerëchen
,	$_	,	,
daz	KOUS	daz	dazz
ime	PPER.Masc.Dat.Sg.3	ime	ër
dâ	AVD	dâ	dâr
getân	VVPP	getân	tuon
was	VAFIN.Ind.Past.Sg.3	was	wësen
,	$_	,	,
dô	AVD	dô	dô
hete	VAFIN.*.Past.Sg.3	hæte	haben
der	DDART.Masc.Nom.Sg.*	der	dër
hêre	ADJA.Pos.Masc.Nom.Sg.wk	hêre	hêre
ênêas	NE.Nom.Sg	Eneas	Eneas
von	APPR	von	von
den	DDART.*.Dat.Pl.*	den	dër
goten	NA.Masc.Dat.Pl.st	goten	got
vernomen	VVPP	vernomen	vernëmen
,	$_	,	,
daz	KOUS	daz	dazz
her	PPER.Masc.Nom.Sg.3	her	ër
dannen	AVD	dannen	dannen
solde	VMFIN.*.Past.Sg.3	solte	solen
komen	VVINF	komen	komen
unde	KON	unde	unte
den	DDART.Masc.Akk.Sg.*	den	dër
lîb	NA.Masc.Akk.Sg.st	lîp	lîb
vor	APPR	vore	vore
in	PPER.*.Dat.Pl.3	in	ër
bewaren	VVINF	bewaren	bewaren
und	KON	und	unte
uber	APPR	über	über
mere	NA.Neut.Akk.Sg.st	mere	mère
solde	VMFIN.*.Past.Sg.3	solte	solen
varen	VVINF	varen	varen
ze	APPR	ze	ze
italjen	NE.Dat.Sg	Italien	Italien
in	APPR	in	in
daz	DDART.Neut.Akk.Sg.*	daz	dër
lant	NA.Neut.Akk.Sg.st	lant	lant
.	$_	.	.
	
daz	DDS.Neut.Akk.Sg.*	daz	dër
weste	VVFIN.Ind.Past.Sg.3	weste	wizzen
wol	AVD	wole	wole
der	DDART.Masc.Nom.Sg.*	der	dër
wîgant	NA.Masc.Nom.Sg.st	wîgant	wîgant
,	$_	,	,
dannen	AVD	dannen	dannen
dardanûs	NE.Nom.Sg	Dardanus	Dardanus
geboren	VVPP	geboren	gebëren
was	VAFIN.Ind.Past.Sg.3	was	wësen
.	$_	.	.
	
dô	AVD	dô	dô
gesach	VVFIN.Ind.Past.Sg.3	gesach	gesëhen
ênêas	NE.Nom.Sg	Eneas	Eneas
die	DDART.Fem.Akk.Sg.*	die	dër
borch	NA.Fem.Akk.Sg.st	burc	burg
brinnen	VVINF	brinnen	brinnen
balde	AVD	balde	balde
.	$_	.	.
	
dardanûs	NE.Nom.Sg	Dardanus	Dardanus
der	DDART.Masc.Nom.Sg.*	der	dër
alde	ADJA.Pos.Masc.Nom.Sg.wk	alte	alt
der	DDS.Masc.Nom.Sg.*	der	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
der	DDART.Masc.Nom.Sg.*	der	dër
êrste	ADJA.Sup.Masc.Nom.Sg.wk	êrste	êrest
man	NA.Masc.Nom.Sg.st	man	mann
,	$_	,	,
der	DDART.Masc.Nom.Sg.*	der	dër
troien	NA.Masc.Nom.Sg.st	Trôjen	trôje
stiften	VVINF	stiften	stiften
began	VVFIN.Ind.Past.Sg.3	began	beginnen
.	$_	.	.
	
ende	NA.Masc,Neut.Akk.Sg.st	ende	ènte
si	PPER.Fem.Nom.Sg.3	si	ër
bevinc	VVFIN.Ind.Past.Sg.3	bevienc	bevâhen
bit	APPR	mit	mit
muren	NA.Fem.Dat.Pl.*	mûren	mûre
dat	DDS.Neut.Nom.Sg.*	daz	dër
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
manegen	DIA.Masc.Akk.Sg.st	manigen	manig
tesure	ADJD.Pos	<unknown>	<unknown>
ênêas	NE.Nom.Sg	Eneas	Eneas
der	DDART.Masc.Nom.Sg.*	der	dër
hêre	ADJA.Pos.Masc.Nom.Sg.wk	hêre	hêre
der	DDS.Masc.Nom.Sg.*	der	dër
gedahte	VVFIN.Ind.Past.Sg.3	gedâhte	gedènken
im	PPER.Masc.Dat.Sg.3	im	ër
vile	AVD	vile	vile
sêre	AVD	sêre	sêre
,	$_	,	,
dô	KOUS	dô	dô
ime	PPER.Masc.Dat.Sg.3	ime	ër
diu	DDART.Fem.Nom.Sg.*	diu	dër
sorge	NA.Fem.Nom.Sg.*	sorge	sorge
zû	PTKVZ	zuo	zuo
quam	VVFIN.Ind.Past.Sg.3	quam	komen
.	$_	.	.
	
sîne	DPOSA.*.Akk.Pl.st	sîne	sîn
frunt	NA.Masc.Akk.Pl.st	vriunde	vriunt
her	PPER.Masc.Nom.Sg.3	her	ër
zû	APPR	ze	ze
im	PPER.Masc.Dat.Sg.3	im	ër
nam	VVFIN.Ind.Past.Sg.3	nam	nëmen
,	$_	,	,
sîne	DPOSA.*.Akk.Pl.st	sîne	sîn
mâge	NA.Masc.Akk.Pl.wk	mâge	mage
und	KON	und	unte
sîne	DPOSA.Masc.Akk.Pl.st	sîne	sîn
man	NA.Masc.Akk.Pl.st	manne	mann
,	$_	,	,
mit	APPR	mit	mit
in	PPER.*.Dat.Pl.3	in	ër
her	AVD	her	hëre
sprâchen	VVFIN.Ind.Past.Pl.3	sprâchen	sprëchen
began	VVFIN.Ind.Past.Sg.3	began	beginnen
der	DDART.Masc.Nom.Sg.*	der	dër
herzoge	NA.Masc.Nom.Sg.*	herzoge	hèrezoge
ênêas	NE.Nom.Sg	Eneas	Eneas
.	$_	.	.
	
her	PPER.Masc.Nom.Sg.3	her	ër
sagete	VVFIN.*.Past.Sg.3	sagete	sagen
in	PPER.*.Dat.Pl.3	in	ër
daz	DRELS.Neut.Nom.Sg	daz	dër
dâ	AVD	dâ	dâr
wâr	ADJD.Pos	wâr	wâr
was	VAFIN.Ind.Past.Sg.3	was	wësen
unde	KON	unde	unte
waz	PW.Neut.Nom.Sg.st	waz	wër
im	PPER.Masc.Dat.Sg.3	im	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
enboten	VVPP	entboten	entbièten
und	KON	und	unte
gewîssaget	VVPP	gewîssaget	wîssagen
von	APPR	von	von
den	DDART.*.Dat.Pl.*	den	dër
goten	NA.Masc.Dat.Pl.st	goten	got
,	$_	,	,
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
sich	PRF.Akk.*.*	sich	sich
niht	PTKNEG	niht	niht
solde	VMFIN.*.Past.Sg.3	solte	solen
erweren	VVINF	erweren	erwèren
und	KON	und	unte
sînen	DPOSA.Masc.Akk.Sg.st	sînen	sîn
lîb	NA.Masc.Akk.Sg.st	lîp	lîb
solde	VMFIN.*.Past.Sg.3	solte	solen
generen	VVINF	generen	genèren
:	$_	:	:
daz	DDS.Neut.Akk.Sg.*	daz	dër
sageter	VVFIN.*.Past.Sg.3|PPER.Masc.Nom.Sg.3	sagete|er	sagen|ër
sînen	DPOSA.*.Dat.Pl.st	sînen	sîn
holden	ADJA.Pos.*.Dat.Pl.*	holden	hold
,	$_	,	,
die	DRELS.*.Nom.Pl	die	dër
sich	PRF.Akk.*.*	sich	sich
dâ	AVD	dâ	dâr
weren	VVINF	weren	wèren
wolden	VMFIN.*.Past.Pl.3	wolten	wèllen
,	$_	,	,
daz	KOUS	daz	dazz
si	PPER.*.Nom.Pl.3	si	ër
alle	DID.*.Nom.Pl.st	alle	all
tôt	ADJD.Pos	tôt	tôt
mûsten	VMFIN.*.Past.Pl.3	muosten	müèzen
sîn	VAINF	sîn	sîn
.	$_	.	.
	
her	PPER.Masc.Nom.Sg.3	her	ër
sprach:<	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
lieben	ADJA.Pos.*.Nom.Pl.wk	lieben	lièb
frunt	NA.Masc.Nom.Sg.st	vriunt	vriunt
mîn	DPOSN.Masc.Nom.Sg.*	mîn	mîn
,	$_	,	,
swie	AVG	swie	swiè
diu	DDART.Fem.Nom.Sg.*	diu	dër
angest	NA.Fem.Nom.Sg.st	angest	angest
sî	VAFIN.Subj.Pres.Sg.3	sî	sîn
getân	VVPP	getân	tuon
,	$_	,	,
doch	AVD	doch	doh
newil	PTKNEG|VMFIN.Ind.Pres.Sg.1	ne|wile	ne|wèllen
ich	PPER.*.Nom.Sg.1	ich	ich
niht	PTKNEG	niht	niht
gân	VVINF	gân	gân
ûz	APPR	ûz	ûz
ûwer	PPER.*.Gen.Pl.2	iuwer	ir
aller	DIS.*.Gen.Pl.st	aller	all
râte	NA.Masc.Dat.Sg.st	râte	rât
deweder	KO*	deweder	dewëder
frû	AVD	vruo	vruo
noch	KON	noch	noh
spâte	AVD	spâte	spâte
.	$_	.	.
	
nu	AVD	nû	nû
saget	VVIMP.Pl.2	saget	sagen
mir	PPER.*.Dat.Sg.1	mir	ich
ûwern	DPOSA.Masc.Akk.Sg.st	iuwern	iuwer
mût	NA.Masc.Akk.Sg.st	muot	muot
,	$_	,	,
waz	PW.Neut.Nom.Sg.st	waz	wër
ûh	PPER.*.Dat.Pl.2	iuch	ir
darumbe	PAVD|PAVAP	dâr|umbe	dâr|umbe
dunke	VVFIN.Subj.Pres.Sg.3	dunke	dunken
gût,	$_	güut	<unknown>
nâch	APPR	nâch	nâh
diu	DDS.*.Instr.Sg.*	diu	dër
und	KON	und	unte
ir	PPER.*.Nom.Pl.2	ir	ir
ez	PPER.Neut.Akk.Sg.3	ez	ër
habet	VAFIN.*.Pres.Pl.2	habet	haben
vernomen	VVPP	vernomen	vernëmen
,	$_	,	,
ob	KOUS	ob	obe
wir	PPER.*.Nom.Pl.1	wir	wir
lebende	ADJD.Pos	lebende	lëbente
wellen	VMFIN.*.Pres.Pl.1	wellen	wèllen
hinnen	AVD	hinnen	hinnen
komen	VVINF	komen	komen
oder	KON	oder	oder
wider	PTKVZ	wider	widere
kêren	VVINF	kêren	kêren
und	KON	und	unte
sterben	VVINF	sterben	stërben
mit	APPR	mit	mit
êren	NA.Fem.Dat.Pl.*	êren	êre
und	KON	und	unte
unser	DPOSA.Masc.Akk.Pl.*	unser	unser
frunt	NA.Masc.Akk.Pl.st	vriunde	vriunt
rechen	VVINF	rechen	rëchen
.	$_	.	.
	
swaz	PG.Neut.Akk.Sg.st	swaz	swër
ir	PPER.*.Nom.Pl.2	ir	ir
wellet	VMFIN.*.Pres.Pl.2	wellet	wèllen
sprechen	VVINF	sprechen	sprëchen
,	$_	,	,
daz	KOUS	daz	dazz
û	PPER.*.Dat.Pl.2	iu	ir
allen	DID.*.Dat.Pl.st	allen	all
lieb	ADJD.Pos	liep	lièb
sî	VAFIN.Subj.Pres.Sg.3	sî	sîn
,	$_	,	,
des	DDS.Neut.Gen.Sg.*	des	dër
ir	PPER.*.Nom.Pl.2	ir	ir
mir	PPER.*.Dat.Sg.1	mir	ich
getorret	VVPP	getorret	torren
stân	VVINF	stân	stân
bî	APPR	bî	bî
,	$_	,	,
des	DDS.Neut.Gen.Sg.*	des	dër
helfe	VVFIN.*.Pres.Sg.1	helfe	hëlfen
ich	PPER.*.Nom.Sg.1	ich	ich
û	PPER.*.Dat.Pl.2	iu	ir
,	$_	,	,
ob	KOUS	ob	obe
ich	PPER.*.Nom.Sg.1	ich	ich
mach.>	VVFIN.Subj.Past.Sg.1	machete	machen
ir	PPER.*.Gen.Pl.3	ir	ër
iegelîcher	DIS.Masc.Nom.Sg.st	iegelîcher	iègelich
des	DDS.Neut.Gen.Sg.*	des	dër
erschrach	VVFIN.Ind.Past.Sg.3	erschrac	erschrëcken
,	$_	,	,
do	KOUS	dô	dô
ez	PPER.Neut.Nom.Sg.3	ez	ër
an	APPR	an	ane
daz	DDART.Neut.Akk.Sg.*	daz	dër
sterben	NA.Neut.Akk.Sg.st	sterben	stërben
solde	VMFIN.*.Past.Sg.3	solte	solen
gân	VVINF	gân	gân
:	$_	:	:
dô	AVD	dô	dô
dûhte	VVFIN.*.Past.Sg.3	dûhte	dunken
sie	PPER.*.Akk.Pl.3	sie	ër
daz	DDS.Neut.Nom.Sg.*	daz	dër
baz	AVD.Comp	baz	bazz
getân	VVPP	getân	tuon
,	$_	,	,
daz	KOUS	daz	dazz
sie	PPER.*.Nom.Pl.3	sie	ër
daz	DDART.Neut.Akk.Sg.*	daz	dër
lant	NA.Neut.Akk.Sg.st	lant	lant
rûmden	VVFIN.*.Past.Pl.3	rûmeten	rûmen
denn	KOUS	denne	danne
sie	PPER.*.Nom.Pl.3	sie	ër
sich	PRF.Akk.*.*	sich	sich
dâ	AVD	dâ	dâr
versûmden	VVFIN.*.Past.Pl.3	versûmeten	versûmen
und	KON	und	unte
rûm	NA.Masc.Akk.Sg.st	rûm	rûm
dâ	AVD	dâ	dâr
erworben	VVFIN.*.Past.Pl.3	erwurben	erwërben
,	$_	,	,
dâ	PAVD	dâ	dâr
si	PPER.*.Nom.Pl.3	si	ër
umbe	PAVAP	umbe	umbe
erstorben	VVFIN.*.Past.Pl.3	ersturben	erstërben
.	$_	.	.
	
dô	AVD	dô	dô
gesach	VVFIN.Ind.Past.Sg.3	gesach	gesëhen
der	DDART.Masc.Nom.Sg.*	der	dër
hêre	ADJA.Pos.Masc.Nom.Sg.wk	hêre	hêre
ênêas	NE.Nom.Sg	Eneas	Eneas
,	$_	,	,
daz	KOUS	daz	dazz
im	PPER.Masc.Dat.Sg.3	im	ër
vile	AVD	vile	vile
leit	ADJD.Pos	leit	lèid
was	VAFIN.Ind.Past.Sg.3	was	wësen
,	$_	,	,
daz	KOUS	daz	dazz
man	PI.*.Nom.Sg.st	man	man
daz	DDART.Neut.Akk.Sg.*	daz	dër
lant	NA.Neut.Akk.Sg.st	lant	lant
wûste	VVFIN.*.Past.Sg.3	wuoste	wüèsten
und	KON	und	unte
er	PPER.Masc.Nom.Sg.3	er	ër
troien	NE.Akk.Sg	Trôjen	Trôja
rûmen	VVINF	rûmen	rûmen
mûste	VMFIN.*.Past.Sg.3	muoste	müèzen
mit	APPR	mit	mit
den	DDART.*.Dat.Pl.*	den	dër
sînen	DPOSA.*.Dat.Pl.st	sînen	sîn
mannen	NA.Masc.Dat.Pl.st	mannen	mann
.	$_	.	.
	
her	PPER.Masc.Nom.Sg.3	her	ër
wonete	VVFIN.*.Past.Sg.3	wonete	wonen
verre	AVD	verre	vërre
dannen	AVD	dannen	dannen
,	$_	,	,
dâ	AVD	dâ	dâr
die	DDART.Masc.Nom.Pl.*	die	dër
criechen	NA.Masc.Nom.Pl.*	Kriechen	Krièche
branden	VVFIN.*.Past.Pl.3	branten	brènnen
,	$_	,	,
her	PPER.Masc.Nom.Sg.3	her	ër
ne	PTKNEG	ne	ne
mohtez	VMFIN.*.Past.Sg.3|PPER.Neut.Akk.Sg.3	mohte|ez	mügen|ër
niht	PTKNEG	niht	niht
geanden	VVINF	geanden	geanten
:	$_	:	:
ez	PPER.Neut.Nom.Sg.3	ez	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
zû	APPR	ze	ze
der	DDART.Fem.Dat.Sg.*	der	dër
wîle	NA.Fem.Dat.Sg.st	wîle	wîle
wol	AVD	wole	wole
uber	APPR	über	über
zehen	CARDA.Fem.Akk.Pl.*	zehen	zëhen
mîle	NA.Fem.Akk.Pl.st	mîle	mîle
.	$_	.	.
	
der	DDART.Masc.Nom.Sg.*	der	dër
schade	NA.Masc.Nom.Sg.*	schade	schade
nâhet	VVFIN.Ind.Pres.Sg.3	nâhet	nâhen
im	PPER.Masc.Dat.Sg.3	im	ër
harde	AVD	harte	harte
;	$_	;	;
iedoch	AVD	iedoch	ièdoh
schûf	VVFIN.Ind.Past.Sg.3	schuof	schèpfen
er	PPER.Masc.Nom.Sg.3	er	ër
die	DDART.Fem.Akk.Sg.*	die	dër
warde	NA.Fem.Akk.Sg.st	warte	wærede
,	$_	,	,
daz	KOUS	daz	dazz
her	PPER.Masc.Nom.Sg.3	her	ër
al	DIA	al	all
sîn	DPOSA	sîn	sîn
gût	NA.Neut.Akk.Sg.st	guot	guot
nam	VVFIN.Ind.Past.Sg.3	nam	nëmen
und	KON	und	unte
dâ	PAVD	dâ	dâr
mite	PAVAP	mite	mite
enwech	AVD	enwec	enwëg
quam	VVFIN.Ind.Past.Sg.3	quam	komen
swar	AVG	swar	sware
sô	PTK	sô	sô
im	PPER.Masc.Dat.Sg.3	im	ër
geviele	VVFIN.Subj.Past.Sg.3	geviele	gevallen
.	$_	.	.
	
dô	AVD	dô	dô
vant	VVFIN.Ind.Past.Sg.3	vant	vinden
her	PPER.Masc.Nom.Sg.3	her	ër
zwênzich	CARDA	zweinzic	zwèinzig
kiele	NA.Masc.Akk.Pl.st	kiele	kièl
wol	AVD	wole	wole
bereit	ADJD.Pos	bereit	berèite
und	KON	und	unte
gespîset	VVPP	gespîset	spîsen
;	$_	;	;
