swer	PG.Masc.Nom.Sg.st	swer	swër
des	DDART.Masc.Gen.Sg.*	des	dër
weges	NA.Masc.Gen.Sg.st	weges	wëg
niht	NA.Neut.Akk.Sg.st	niht	niht
der	DDART.*.Gen.Pl.*	der	dër
gesehende	ADJS.Pos.Masc.Nom.Sg.wk	gesehende	gesëhen
dar	PAVD	dâr	dâr
ane	PAVAP	ane	ane
siht	VVFIN.Ind.Pres.Sg.3	sihet	sëhen
beide	KON	beide	bèide
schaden	NA.Masc.Akk.Sg.*	schaden	schade
und	KON	und	unte
frumen	NA.Fem,Masc.Akk.Sg.*	vrumen	vrume
da	AVD	dâ	dâr
er	PPER.Masc.Nom.Sg.3	er	ër
mit	APPR	mit	mit
sorge	NA.Fem.Dat.Sg.st	sorge	sorge
muz	VMFIN.Ind.Pres.Sg.3	muoz	müèzen
ubskumen	VVINF	ûfskumen	ûzschûmen
ich	PPER.*.Nom.Sg.1	ich	ich
heizze	VVFIN.*.Pres.Sg.1	heize	hèizen
die	DDART.*.Akk.Pl.*	die	dër
ungelten	ADJA.Pos.*.Akk.Pl.wk	ungelten	ungëlt
blint	ADJD.Pos	blint	blint
die	DDS.*.Nom.Pl.*	die	dër
schenden	VVINF	schenden	schènten
die	DRELS.*.Nom.Pl	die	dër
geleret	VVPP	gelêrt	lêren
sint	VAFIN.Ind.Pres.Pl.3	sint	sîn
von	APPR	von	von
dem	DDART.Masc.Dat.Sg.*	dem	dër
blinden	ADJA.Pos.Masc.Dat.Sg.wk	blinden	blint
spreche	VVFIN.Subj.Pres.Sg.1	spreche	sprëchen
ich	PPER.*.Nom.Sg.1	ich	ich
me	AVD.Comp	mêr	mêre
wendaz	KOUS	wen_daz	wan_dazz
ich	PPER.*.Nom.Sg.1	ich	ich
selbe	DDD.Masc.Nom.Sg.wk	selbe	sëlb
muz	VMFIN.Ind.Pres.Sg.1	muoz	müèzen
e	AVD	êr	êr
daz	DDART.Neut.Akk.Sg.*	daz	dër
stuppe	NA.Neut.Akk.Sg.st	stüppe	stüppe
uz	APPR	ûz	ûz
den	DDART.*.Dat.Pl.*	den	dër
augen	NA.Neut.Dat.Pl.wk	ougen	ouge
lesen	VVINF	lesen	lësen
wen	KO*	wente	wante
wa	AVW	wâ	wâr
ich	PPER.*.Nom.Sg.1	ich	ich
iungere	ADJA.Pos.Masc.Nom.Sg.wk	jungere	jung
solte	VMFIN.*.Past.Sg.1	solte	solen
wesen	VAINF	wesen	wësen
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
ich	PPER.*.Nom.Sg.1	ich	ich
da	AVD	dâ	dâr
ander	DIS.*.Akk.Pl.st	ander	ander
leren	VVINF	lêren	lêren
so	AVD	sô	sô
muz	VMFIN.Ind.Pres.Sg.3	muoz	müèzen
man	PI.*.Nom.Sg.st	man	man
mirz	PPER.*.Dat.Sg.1|PPER.Neut.Akk.Sg.3	mir|ez	ich|ër
verkeren	VVINF	verkêren	verkêren
doch	AVD	doch	doh
lere	VVFIN.*.Pres.Sg.1	lêre	lêren
ich	PPER.*.Nom.Sg.1	ich	ich
daz	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
gelerne	VVFIN.*.Pres.Sg.1	gelerne	gelërnen
sie	PPER.*.Nom.Pl.3	sie	ër
wonent	VVFIN.Ind.Pres.Pl.3	wonent	wonen
entsament	AVD	ensament	ensament
gerne	AVD	gerne	gërne
und	KON	und	unte
des	DDS.Neut.Gen.Sg.*	des	dër
vil	AVD	vile	vile
ungelich	AVD	ungelîche	ungelîche
swenne	AVG	swenne	swanne
ich	PPER.*.Nom.Sg.1	ich	ich
lere	VVFIN.*.Pres.Sg.1	lêre	lêren
so	AVD	sô	sô
lerne	VVFIN.*.Pres.Sg.1	lerne	lërnen
auch	AVD	ouch	ouch
ich	PPER.*.Nom.Sg.1	ich	ich
getichtes	NA.Neut.Gen.Sg.st	getihtes	getihte
des	DDS.Neut.Gen.Sg.*	des	dër
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
ich	PPER.*.Nom.Sg.1	ich	ich
nu	AVD	nû	nû
phlegen	VVINF	pflegen	pflëgen
also	AVD	alsô	allsô
han	VAFIN.Ind.Pres.Sg.1	hân	haben
ich	PPER.*.Nom.Sg.1	ich	ich
felden	VVINF	velden	vëlden
ganzen	ADJA.Pos.Masc.Akk.Sg.*	ganzen	ganz
regen	NA.Masc.Akk.Sg.st	regen	rëgen
ez	PPER.Neut.Nom.Sg.3	ez	ër
muz	VMFIN.Ind.Pres.Sg.3	muoz	müèzen
mir	PPER.*.Dat.Sg.1	mir	ich
einzeln	AVD	einzelen	èinzelen
tropfen	NA.Masc.Akk.Sg.wk	tropfen	tropfe
in	PTKVZ	în	în
daz	DRELS.Neut.Nom.Sg	daz	dër
mir	PPER.*.Dat.Sg.1	mir	ich
weichen	VVINF	weichen	wèichen
sol	VMFIN.Ind.Pres.Sg.3	sol	solen
den	DDART.Masc.Akk.Sg.*	den	dër
sin	NA.Masc.Akk.Sg.st	sin	sinn
von	APPR	von	von
flizze	NA.Masc.Dat.Sg.st	vlîze	vlîz
wirt	VAFIN.Ind.Pres.Sg.3	wirdet	wërden
der	DDART.Masc.Nom.Sg.*	der	dër
man	NA.Masc.Nom.Sg.st	man	mann
gelart	VVPP	gelârt	lêren
der	DDART.Masc.Nom.Sg.*	der	dër
tropfe	NA.Masc.Nom.Sg.wk	tropfe	tropfe
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
weich	ADJD.Pos	weich	wèich
der	DDART.Masc.Nom.Sg.*	der	dër
stein	NA.Masc.Nom.Sg.st	stein	stèin
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
hart	ADJD.Pos	hart	hart
doch	AVD	doch	doh
erhult	VVFIN.*.Past.Sg.3	erhulte	erhüllen
der	DDART.Masc.Nom.Sg.*	der	dër
tropfe	NA.Masc.Nom.Sg.wk	tropfe	tropfe
den	DDART.Masc.Akk.Sg.*	den	dër
stein	NA.Masc.Akk.Sg.st	stein	stèin
von	APPR	von	von
andss	AVD	anders	anderes
siner	DPOSA.Fem.Dat.Sg.st	sîner	sîn
krefte	NA.Fem.Dat.Sg.st	krefte	kraft
dehein	DIA	dechein	dehèin
gewalt	NA.Fem,Masc.Nom.Sg.st	gewalt	gewalt
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
an	APPR	an	ane
im	PPER.Masc.Dat.Sg.3	im	ër
stellet	VVFIN.Ind.Pres.Sg.3	stellet	stèllen
wendaz	KOUS	wen_daz	wan_dazz
er	PPER.Masc.Nom.Sg.3	er	ër
dicke	AVD	dicke	dicke
fellet	VVFIN.Ind.Pres.Sg.3	vellet	vallen
diz	DDA.Neut.Nom.Sg.*	diz	dise
buch	NA.Neut.Nom.Sg.st	buoch	buoch
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
franzoys	ADJD.Pos	franzois	franzois
und	KON	und	unte
walsch	ADJD.Pos	walhisch	walhisch
sin	DPOSA	sîn	sîn
fuge	NA.Fem.Nom.Sg.*	vuoge	vuoge
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
gantz	ADJD.Pos	ganz	ganz
und	KON	und	unte
ane	APPR	âne	âne
falsch	NA.Masc.Akk.Sg.st	valsch	valsch
zu	APPR	zuo	ze
kriechen	NA.Masc.Dat.Pl.*	Kriechen	Krièche
was	VAFIN.Ind.Past.Sg.3	was	wësen
sin	DPOSA	sîn	sîn
erste	ADJA.Sup.Masc.Nom.Sg.wk	êrste	êrest
stam	NA.Masc.Nom.Sg.*	stam	stamme
in	APPR	in	in
latin	NA.Neut.Akk.Sg.st	latîn	latîne
ez	PPER.Neut.Nom.Sg.3	ez	ër
dannen	AVD	dannen	dannen
quam	VVFIN.Ind.Past.Sg.3	quam	komen
hinnen	AVD	hinnen	hinnen
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
ez	PPER.Neut.Nom.Sg.3	ez	ër
an	APPR	an	ane
daz	DDART.Neut.Akk.Sg.*	daz	dër
welhishe	ADJA.Pos.Neut.Akk.Sg.wk	welhische	walhisch
kumen	NA.Neut.Akk.Sg.st	kumen	komen
daz	DDS.Neut.Akk.Sg.*	daz	dër
han	VAFIN.Ind.Pres.Sg.1	hân	haben
ich	PPER.*.Nom.Sg.1	ich	ich
also	AVD	alsô	allsô
vurnumen	VVPP	vernomen	vernëmen
tares	NE.Nom.Sg	Tares	Tares
der	DRELS.Masc.Nom.Sg	der	dër
allerbeste	AVD.Sup	allerbezzeste	allerbèzzeste
den	DDART.Masc.Akk.Sg.*	den	dër
sturm	NA.Masc.Akk.Sg.st	sturm	sturm
von	APPR	von	von
troygen	NE.Dat.Sg	Trôjen	Trôje
weste	VVFIN.*.Past.Sg.3	weste	wizzen
wen	KO*	wente	wante
er	PPER.Masc.Nom.Sg.3	er	ër
da	PAVD	dâ	dâr
mit	PAVAP	mit	mite
was	VAFIN.Ind.Past.Sg.3	was	wësen
gewesen	VAPP	gewesen	wësen
ds	KON	des	dës
screip	VVFIN.Ind.Past.Sg.3	schreip	schrîben
in	PPER.Masc.Akk.Sg.3	in	ër
und	KON	und	unte
liz	VVFIN.Ind.Past.Sg.3	liez	lâzen
in	PPER.Masc.Akk.Sg.3	in	ër
lesen	VVINF	lesen	lësen
cornelius	NE.Nom.Sg	Cornelius	Cornelius
den	DDART.Masc.Akk.Sg.*	den	dër
strit	NA.Masc.Akk.Sg.st	strît	strît
las	VVFIN.Ind.Past.Sg.3	las	lësen
als	KO*	als	allsô
er	PPER.Masc.Nom.Sg.3	er	ër
in	APPR	in	in
kriechish	ADJD.Pos	kriechisch	krièchisch
gescriben	VVPP	geschriben	schrîben
was	VAFIN.Ind.Past.Sg.3	was	wësen
als	AVD	als	allsô
hat	VAFIN.Ind.Pres.Sg.3	hât	haben
er	PPER.Masc.Nom.Sg.3	er	ër
in	PPER.Masc.Akk.Sg.3	in	ër
inz	APPR|DDART.Neut.Akk.Sg.*	in|daz	in|dër
latin	NA.Neut.Akk.Sg.st	latîn	latîne
gekart	VVPP	gekârt	kêren
sint	AVD	sint	sint
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
er	PPER.Masc.Nom.Sg.3	er	ër
tutsche	ADJA.Pos.*.Akk.Pl.st	diutische	diutisch
zungen	NA.Fem.Akk.Pl.st	zungen	zunge
gelart	VVPP	gelârt	lêren
nach	APPR	nâch	nâh
der	DDS.Fem.Dat.Sg.*	der	dër
sol	VMFIN.Ind.Pres.Sg.1	sol	solen
ich	PPER.*.Nom.Sg.1	ich	ich
wirken	VVINF	wirken	wirken
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
ich	PPER.*.Nom.Sg.1	ich	ich
die	DDART.*.Akk.Pl.*	die	dër
formen	NA.Fem.Akk.Pl.st	firmen	firme
merken	VVINF	merken	mèrken
so	AVD	sô	sô
muz	VMFIN.Ind.Pres.Sg.1	muoz	müèzen
ich	PPER.*.Nom.Sg.1	ich	ich
drisinnic	ADJD.Pos	drîsinnic	drîsinnig
sin	VAINF	sîn	sîn
eine	AVD	eine	èine
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
kriechisch	ADJD.Pos	kriechisch	krièchisch
ein	DIART	ein	èin
latin	NA.Neut.Nom.Sg.st	latîn	latîne
und	KON	und	unte
des	DDART.Neut.Gen.Sg.*	des	dër
welschen	ADJA.Pos.Neut.Gen.Sg.wk	welhischen	walhisch
buches	NA.Neut.Gen.Sg.st	buoches	buoch
ein	DIART	ein	èin
zwischen	APPR	zwischen	zwischen
den	DDART.*.Dat.Pl.*	den	dër
lesten	ADJA.Sup.*.Dat.Pl.*	lezzesten	lèzzest
sinnen	NA.Masc.Dat.Pl.st	sinnen	sinn
zwein	CARDN.*.Dat.Pl.st	zwein	zwêne
nim	VVFIN.Ind.Pres.Sg.1	nime	nëmen
ich	PPER.*.Nom.Sg.1	ich	ich
nu	AVD	nû	nû
den	DDART.Masc.Akk.Sg.*	den	dër
dritten	ADJS.Pos.Masc.Akk.Sg.*	dritten	dritt
und	KON	und	unte
folge	VVFIN.*.Pres.Sg.1	volge	volgen
im	PPER.Masc.Dat.Sg.3	im	ër
so	AVD	sô	sô
mitten	AVD	mitten	mittene
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
min	DPOSA	mîn	mîn
rechte	ADJA.Pos.Masc.Nom.Sg.wk	rehte	rëht
geleite	NA.Masc.Nom.Sg.st	geleite	gelèite
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
an	APPR	an	ane
des	DDART.Neut.Gen.Sg.*	des	dër
tutschen	ADJA.Pos.Neut.Gen.Sg.wk	diutischen	diutisch
buches	NA.Neut.Gen.Sg.st	buoches	buoch
list	NA.Fem,Masc.Akk.Sg.st	list	list
nu	AVD	nû	nû
hant	VAFIN.Ind.Pres.Pl.3	hânt	haben
ez	PPER.Neut.Akk.Sg.3	ez	ër
ander	DIA	ander	ander
lute	NA.Masc,Neut.Gen.Pl.st	liute	liut
gemachet	VVPP	gemachet	machen
me	AVD.Comp	mêr	mêre
ze	APPR	ze	ze
dute	NA.Fem,Neut.Dat.Sg.st	diute	diute
den	DDS.*.Dat.Pl.*	den	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
ez	PPER.Neut.Nom.Sg.3	ez	ër
vil	AVD	vile	vile
wol	AVD	wole	wole
gelungen	VVPP	gelungen	gelingen
sint	KOUS	sint	sint
ez	PPER.Neut.Nom.Sg.3	ez	ër
aber	AVD-KO*	aber	aber
von	APPR	von	von
drin	CARDA.*.Dat.Pl.st	drîn	drî
zungen	NA.Fem.Dat.Pl.*	zungen	zunge
mit	APPR	mit	mit
eime	CARDA.Masc.Dat.Sg.st	eineme	èin
sinne	NA.Masc.Dat.Sg.st	sinne	sinn
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
her	AVD	her	hëre
gescriben	VVPP	geschriben	schrîben
des	KON	des	dës
bin	VAFIN.Ind.Pres.Sg.1	bin	sîn
ich	PPER.*.Nom.Sg.1	ich	ich
dar	PAVD	dâr	dâr
zu	PAVAP	zuo	zuo
beschiben	VVPP	beschiben	beschîben
daz	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
si	VAFIN.Subj.Pres.Sg.1	sî	sîn
daz	DDART.Neut.Nom.Sg.*	daz	dër
fierde	ADJA.Pos.Neut.Nom.Sg.wk	vierde	vièrd
rat	NA.Neut.Nom.Sg.st	rat	rad
daz	DDS.Neut.Nom.Sg.*	daz	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
rechte	AVD	rehte	rëhte
fus	NA.Masc.Nom.Sg.st	vuoz	vuoz
bestat	VVPP	bestatet	bestaten
sint	KOUS	sint	sint
ich	PPER.*.Nom.Sg.1	ich	ich
von	APPR	von	von
den	DDART.*.Dat.Pl.*	den	dër
drin	CARDS.*.Dat.Pl.st	drîn	drî
quam	VVFIN.Ind.Past.Sg.1	quam	komen
daz	KOUS	daz	dazz
man	PI.*.Nom.Sg.st	man	man
mich	PPER.*.Akk.Sg.1	mich	ich
zu	APPR	zuo	ze
den	DDART.*.Dat.Pl.*	den	dër
fierden	ADJA.Pos.*.Dat.Pl.*	vierden	vièrd
nam	VVFIN.Ind.Past.Sg.3	nam	nëmen
hat	VAFIN.Ind.Pres.Sg.3	hât	haben
ez	PPER.Neut.Akk.Sg.3	ez	ër
einander	DIA	einander	èinander
follenbracht	VVPP	vollenbrâht	vollbringen
als	KO*	als	allsô
ich	PPER.*.Nom.Sg.1	ich	ich
zu	APPR	zuo	ze
dem	DDART.Masc.Dat.Sg.*	dem	dër
fierden	ADJS.Pos.Neut.Dat.Sg.wk	vierden	vièrd
wart	VAFIN.Ind.Past.Sg.1	wart	wërden
gedacht	VVPP	gedâht	gedènken
so	AVD	sô	sô
zele	VVFIN.Subj.Pres.Sg.3	zele	zèlen
man	PI.*.Nom.Sg.st	man	man
mich	PPER.*.Akk.Sg.1	mich	ich
zu	APPR	zuo	ze
den	DDART.Masc.Dat.Sg.*	den	dër
funften	ADJA.Pos.Masc.Dat.Sg.wk	vünften	vünft
rade	NA.Masc.Dat.Sg.st	râte	rât
und	KON	und	unte
frume	VVFIN.*.Pres.Sg.1	vrume	vrumen
ich	PPER.*.Nom.Sg.1	ich	ich
niht	PTKNEG	niht	niht
ich	PPER.*.Nom.Sg.1	ich	ich
bin	VAFIN.Ind.Pres.Sg.1	bin	sîn
niht	PTKNEG	niht	niht
schade	NA.Masc.Nom.Sg.*	schade	schade
ich	PPER.*.Nom.Sg.1	ich	ich
buwe	VVFIN.*.Pres.Sg.1	bûwe	bûwen
doch	AVD	doch	doh
die	DDART.Fem.Akk.Sg.*	die	dër
strazzen	NA.Fem.Akk.Sg.st	strâzen	strâze
die	DRELS.Fem.Akk.Sg	die	dër
sie	PPER.*.Nom.Pl.3	sie	ër
hant	VAFIN.Ind.Pres.Pl.3	hânt	haben
gelazzen	VVPP	gelâzen	lâzen
manigen	DIA.Masc.Akk.Sg.st	manigen	manig
rat	NA.Masc.Akk.Sg.st	rât	rât
ane	APPR	âne	âne
bane	NA.Fem.Akk.Sg.st	bane	bane
und	KON	und	unte
baniche	VVFIN.*.Pres.Sg.1	baneke	baneken
minen	DPOSA.Masc.Akk.Sg.st	mînen	mîn
sin	NA.Masc.Akk.Sg.st	sin	sinn
dar	PAVD	dâr	dâr
ane	PAVAP	ane	ane
daz	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
in	PPER.*.Dat.Pl.3	in	ër
bekere	VVFIN.*.Pres.Sg.1	bekêre	bekêren
deste	AVD	deste	dëste
baz	AVD.Comp	baz	bazz
wen	KO*	wente	wante
der	DDS.Masc.Nom.Sg.*	der	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
herte	ADJD.Pos	herte	hèrte
und	KON	und	unte
laz	ADJD.Pos	laz	lazz
ich	PPER.*.Nom.Sg.1	ich	ich
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
in	PPER.Masc.Akk.Sg.3	in	ër
bigen	VVINF	begên	begân
ob	KOUS	ob	obe
ich	PPER.*.Nom.Sg.1	ich	ich
kan	VMFIN.Ind.Pres.Sg.1	kan	kunnen
daz	DDS.Neut.Akk.Sg.*	daz	dër
hiz	VVFIN.Ind.Past.Sg.3	hiez	hèizen
der	DDART.Masc.Nom.Sg.*	der	dër
furste	NA.Masc.Nom.Sg.wk	vürste	vürste
herman	NE.Nom.Sg	Herman	Hèrmann
der	DDART.Masc.Nom.Sg.*	der	dër
lantgrave	NA.Masc.Nom.Sg.*	lantgrâve	lantgrâve
von	APPR	von	von
duringen	NA.Masc.Dat.Pl.*	Düringen	Düringe
lant	NA.Neut.Dat.Sg.st	lande	lant
diz	DDA.Neut.Akk.Sg.*	diz	dise
buch	NA.Neut.Akk.Sg.st	buoch	buoch
hat	VAFIN.Ind.Pres.Sg.3	hât	haben
im	PPER.Masc.Dat.Sg.3	im	ër
hergesant	AVD|VVPP	her|gesant	hëre|sènten
der	DDART.Masc.Nom.Sg.*	der	dër
grave	NA.Masc.Nom.Sg.*	grâve	grâve
von	APPR	von	von
liningen	NE.Dat.Sg	Lîningen	Lîningen
sol	VMFIN.Ind.Pres.Sg.3	sol	solen
mir	PPER.*.Dat.Sg.1	mir	ich
dar	PAVD	dâr	dâr
ane	PAVAP	ane	ane
gelingen	VVINF	gelingen	gelingen
so	AVD	sô	sô
lenge	VVFIN.*.Pres.Sg.1	lenge	lèngen
ich	PPER.*.Nom.Sg.1	ich	ich
ez	PPER.Neut.Akk.Sg.3	ez	ër
mit	APPR	mit	mit
willen	NA.Masc.Dat.Sg.*	willen	wille
niht	PTKNEG	niht	niht
ich	PPER.*.Nom.Sg.1	ich	ich
spreche	VVFIN.*.Pres.Sg.1	spreche	sprëchen
von	APPR	von	von
troyge	NE.Dat.Sg	Trôje	Trôje
daz	DDART.Neut.Akk.Sg.*	daz	dër
lieht	NA.Neut.Akk.Sg.st	lieht	lièht
.	$_	.	.
	
von	APPR	von	von
krichenlanden	NE.Dat.Pl	Kriechenlanden	Krièchenlant
wilen	AVD	wîlent	wîlent
was	VAFIN.Ind.Past.Sg.3	was	wësen
ein	DIART	ein	èin
kunic	NA.Masc.Nom.Sg.st	küninc	küning
der	DDS.Masc.Nom.Sg.*	der	dër
hiez	VVFIN.Ind.Past.Sg.3	hiez	hèizen
peleas	NE.Nom.Sg	Peleas	Peleas
edel	ADJD.Pos	edel	èdele
und	KON	und	unte
riche	ADJD.Pos	rîche	rîche
der	DDS.Masc.Nom.Sg.*	der	dër
lebete	VVFIN.*.Past.Sg.3	lebete	lëben
herliche	AVD	hêrlîche	hêrlîche
in	APPR	in	in
burgen	NA.Fem.Dat.Pl.st	bürgen	burg
und	KON	und	unte
in	APPR	in	in
landen	NA.Neut.Dat.Pl.st	landen	lant
von	APPR	von	von
spise	NA.Fem.Dat.Sg.st	spîse	spîse
und	KON	und	unte
von	APPR	von	von
gewanden	NA.Neut.Dat.Pl.st	gewanden	gewant
was	VAFIN.Ind.Past.Sg.3	was	wësen
die	DDART.Fem.Nom.Sg.*	die	dër
vulle	NA.Fem.Nom.Sg.*	vülle	vülle
in	APPR	in	in
sime	DPOSA.Masc.Dat.Sg.st	sîneme	sîn
hofe	NA.Masc.Dat.Sg.st	hove	hov
daz	DDART.Neut.Nom.Sg.*	daz	dër
welsche	ADJA.Pos.Neut.Nom.Sg.wk	welhische	walhisch
buch	NA.Neut.Nom.Sg.st	buoch	buoch
von	APPR	von	von
des	DDART.Masc.Gen.Sg.*	des	dër
herren	NA.Masc.Gen.Sg.*	hêrren	hêrre
lobe	NA.Masc,Neut.Dat.Sg.st	lobe	lob
harte	AVD	harte	harte
vil	AVD	vile	vile
gescriben	VVPP	geschriben	schrîben
hat	VAFIN.Ind.Pres.Sg.3	hât	haben
daz	KOUS	daz	dazz
minem	DPOSA.Neut.Dat.Sg.st	mînem	mîn
herzen	NA.Neut.Dat.Sg.wk	herzen	hërze
widerstat	VVFIN.Ind.Pres.Sg.3	widerstât	widerstân
weren	VAFIN.Subj.Past.Pl.3	wæren	wësen
alle	DIA.*.Nom.Pl.st	alle	all
tugende	NA.Fem.Nom.Pl.st	tugende	tugende
in	APPR	in	in
ein	CARDS	ein	èin
die	DRELS.*.Akk.Pl	die	dër
die	DDART.Fem.Nom.Sg.*	die	dër
sunne	NA.Fem.Nom.Sg.*	sunne	sunne
ie	AVD	ie	iè
beschein	VVFIN.Ind.Past.Sg.3	beschein	beschînen
oder	KON	oder	oder
die	DDART.Masc.Nom.Sg.*	die	dër
mensche	NA.Masc.Nom.Sg.st	mennische	mènnische
ie	AVD	ie	iè
gewan	VVFIN.Ind.Past.Sg.3	gewan	gewinnen
und	KON	und	unte
hette	VAFIN.*.Past.Sg.3	hette	haben
sie	PPER.*.Akk.Pl.3	sie	ër
alle	DID.*.Akk.Pl.st	alle	all
ein	DIART	ein	èin
man	NA.Masc.Nom.Sg.st	man	mann
der	DRELS.Masc.Nom.Sg	der	dër
niht	NA.Neut.Akk.Sg.st	niht	niht
truwen	NA.Fem.Gen.Pl.*	triuwen	triuwe
hette	VAFIN.*.Past.Sg.3	hette	haben
