o	ITJ	ô	ô
edel	ADJD.Pos	edel	èdele
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
und	KON	und	unte
der	DDS.Masc.Nom.Sg.*	der	dër
gevaiget	VVPP	geveiget	vèigen
und	KON	und	unte
der	DDS.Masc.Nom.Sg.*	der	dër
so	AVD	sô	sô
künstenreich	ADJD.Pos	künstenrîche	künsterîche
.	$_	.	.
	
drumb	PAVD|PAVAP	dâr|umbe	dâr|umbe
sey	VAFIN.Subj.Pres.Sg.3	sî	sîn
deinem	DPOSA.Masc.Dat.Sg.st	dînem	dîn
gewalt	NA.Masc.Dat.Sg.st	gewalte	gewalt
ymmer	AVD	iemer	ièmer
ewig	ADJD.Pos	êwic	êwig
genayget	VVPP	geneiget	nèigen
.	$_	.	.
	
nu	AVD	nû	nû
hat	VAFIN.Ind.Pres.Sg.3	hât	haben
dein	DPOSA	dîn	dîn
gnad	NA.Fem.Nom.Sg.*	genâde	genâde
gesundert	VVPP	gesundert	sunteren
zer	APPR|DDART.Fem.Dat.Sg.*	ze|der	ze|dër
welt	NA.Fem.Dat.Sg.st	werelt	wërelt
ain	DIART	ein	èin
man	NA.Masc.Akk.Sg.st	man	mann
erlesen	VVPP	erlesen	erlësen
,	$_	,	,
mit	APPR	mit	mit
dem	DRELS.Masc.Dat.Sg	dem	dër
dein	DPOSA.Fem.Nom.Sg.*	dîn	dîn
weyshait	NA.Fem.Nom.Sg.st	wîsheit	wîshèit
wundert	VVFIN.Ind.Pres.Sg.3	wundert	wunteren
.	$_	.	.
	
der	DDART.Masc.Nom.Sg.*	der	dër
edel	ADJA.Pos.Masc.Nom.Sg.*	edel	èdele
sunn	NA.Masc.Nom.Sg.st	sun	sun
im	PPER.Masc.Dat.Sg.3	im	ër
gibt	VVFIN.Ind.Pres.Sg.3	gibet	gëben
natur	NA.Fem.Akk.Sg.st	natûr	natûre
und	KON	und	unte
wesen	NA.Neut.Akk.Sg.st	wesen	wësen
.	$_	.	.
	
marcurius	NE.Nom.Sg	Markurius	Markurius
in	PPER.Masc.Akk.Sg.3	in	ër
mit	APPR	mit	mit
kunst	NA.Fem.Dat.Sg.st	kunst	kunst
und	KON	und	unte
weyshait	NA.Fem.Dat.Sg.st	wîsheit	wîshèit
stewret	VVFIN.Ind.Pres.Sg.3	stiuret	stiuren
.	$_	.	.
	
ain	DIART	ein	èin
jupiter	NA.Masc.Nom.Sg.st	jupiter	jûbitære
von	APPR	von	von
siten	NA.Fem,Masc.Dat.Pl.*	sîten	site
guet	ADJD.Pos	guot	guot
,	$_	,	,
sunst	NA.Masc.Nom.Sg.st	sunst	sunst
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
er	PPER.Masc.Nom.Sg.3	er	ër
allen	DIA.*.Dat.Pl.st	allen	all
mannen	NA.Masc.Dat.Pl.st	mannen	mann
ob	KON	oder	oder
getewret	VVPP	getiuret	tiuren
.	$_	.	.
	
mit	APPR	mit	mit
wirden	NA.Fem.Dat.Pl.*	wirden	wirde
sunder	APPR	sunder	sunter
sehande	AVD	sehande	sëhente
lebt	VVFIN.Ind.Pres.Sg.3	lebet	lëben
ye	AVD	ie	iè
der	DDART.Masc.Nom.Sg.*	der	dër
auserkoren	ADJA.Pos.Masc.Nom.Sg.wk|NA.Masc.Nom.Sg.st	ûzer|koren	ûzer|kôr
.	$_	.	.
	
ain	DIART	ein	èin
fürst	NA.Masc.Nom.Sg.st	vurst	vürst
aus	APPR	ûz	ûz
bayrenlannde	NE.Dat.Sg	Beirenlande	Barenland
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
er	PPER.Masc.Nom.Sg.3	er	ër
aus	APPR	ûz	ûz
künigklicher	ADJA.Pos.Fem.Dat.Sg.st	küninclîcher	küninglich
art	NA.Fem.Dat.Sg.st	art	art
geporen	VVPP	geboren	bëren
.	$_	.	.
	
sunst	NA.Masc.Nom.Sg.st	sunst	sunst
sind	VAFIN.Ind.Pres.Pl.3	sint	sîn
auch	AVD-KO*	ouch	ouch
alle	DIA.*.Nom.Pl.st	alle	all
künn	ADJD.Pos	künne	küène
von	APPR	von	von
disem	DDA.Masc.Dat.Sg.*	disem	dise
stamen	NA.Masc.Dat.Sg.*	stammen	stamme
,	$_	,	,
den	DRELS.Masc.Akk.Sg	den	dër
got	NA.Masc.Nom.Sg.st	got	got
sunder	AVD	sundert	sunder
geedelt	VVPP	geedelt	èdelen
hat	VAFIN.Ind.Pres.Sg.3	hât	haben
.	$_	.	.
	
herzog	NA.Masc.Nom.Sg.*	herzoge	hèrezoge
albrecht	NE.Nom.Sg	Albreht	Albrëht
er	PPER.Masc.Nom.Sg.3	er	ër
haist	VVFIN.Ind.Pres.Sg.3	heizet	hèizen
mit	APPR	mit	mit
seinem	DPOSA.Masc.Dat.Sg.st	sînem	sîn
namen	NA.Masc.Dat.Sg.*	namen	name
.	$_	.	.
	
sein	DPOSA.Fem.Nom.Sg.*	sîn	sîn
angeborne	ADJA.Pos.Fem.Nom.Sg.wk	anegeborene	anegeboren
tugent	NA.Fem.Nom.Sg.*	tugent	tugende
sein	DPOSA	sîn	sîn
raines	ADJA.Pos.Neut.Akk.Sg.st	reinez	rèine
herz	NA.Neut.Nom.Sg.wk	herze	hërze
ye	AVD	ie	iè
zwank	VVFIN.Ind.Past.Sg.3	zwanc	zwingen
,	$_	,	,
das	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
bisher	NA.Masc.Nom.Sg.st	bischær	beschære
von	APPR	von	von
jugent	NA.Fem.Dat.Sg.st	jugent	jugend
nicht	PTKNEG	niht	niht
wann	KO*	wanne	wante
nur	AVD	niur	niur
nach	APPR	nâch	nâh
hohen	ADJA.Pos.*.Dat.Pl.*	hôhen	hôh
eren	NA.Fem.Dat.Pl.*	êren	êre
rank	VVFIN.Ind.Past.Sg.3	ranc	ringen
.	$_	.	.
	
sunst	NA.Fem.Akk.Sg.st	sunst	sunst
hört	VVFIN.*.Past.Sg.3	hôrte	hoèren
er	PPER.Masc.Nom.Sg.3	er	ër
singen	VVINF	singen	singen
,	$_	,	,
sagen	VVINF	sagen	sagen
noch	KON	noch	noh
vil	AVD	vile	vile
geren	VVINF	geren	gëren
von	APPR	von	von
den	DDS.*.Dat.Pl.*	den	dër
,	$_	,	,
die	DRELS.*.Nom.Pl	die	dër
bey	APPR	bî	bî
ir	DPOSA.*.Dat.Pl.*	ire	ire
tagen	NA.Masc.Dat.Pl.st	tagen	tag
geworben	VVPP	geworben	wërben
haben	VAFIN.*.Pres.Pl.3	haben	haben
allzeit	DIA.Fem.Akk.Sg.st|NA.Fem.Akk.Sg.st	al|zît	all|zît
nach	APPR	nâch	nâh
solichen	DDA.*.Dat.Pl.st	solichen	solich
eren	NA.Fem.Dat.Pl.*	êren	êre
.	$_	.	.
	
von	APPR	von	von
den	DDS.*.Dat.Pl.*	den	dër
ains	CARDA.Masc,Neut.Gen.Sg.st	eines	èin
tails	NA.Masc,Neut.Gen.Sg.st	teiles	tèil
gesaget	VVPP	gesaget	sagen
hab	VAFIN.*.Pres.Sg.1	habe	haben
ich	PPER.*.Nom.Sg.1	ich	ich
dem	DDART.Masc.Dat.Sg.*	dem	dër
fürsten	NA.Masc.Dat.Sg.wk	vürsten	vürste
herren	NA.Masc.Dat.Sg.*	hêrren	hêrre
,	$_	,	,
was	PW.Neut.Akk.Sg.st	waz	wër
manig	DIA.Masc.Nom.Sg.*	manic	manig
ritter	NA.Masc.Nom.Sg.st	ritter	rîtære
pejaget	VVPP	bejaget	bejagen
hat	VAFIN.Ind.Pres.Sg.3	hât	haben
all	DIA	al	all
sein	DPOSA	sîn	sîn
zeit	NA.Fem,Neut.Akk.Sg.st	zît	zît
mit	APPR	mit	mit
manhait	NA.Fem.Dat.Sg.st	manheit	mannhèit
und	KON	und	unte
sunsteren	NA.Fem.Dat.Pl.*	sünsteren	sünte
.	$_	.	.
	
erst	AVD.Sup	êrst	êreste
solt	VMFIN.*.Past.Sg.1	solte	solen
ich	PPER.*.Nom.Sg.1	ich	ich
sagen	VVINF	sagen	sagen
von	APPR	von	von
wunder	NA.Neut.Dat.Sg.st	wunder	wunter
und	KON	und	unte
abentewren	NA.Fem.Dat.Sg.st	âbentiuren	âventiure
,	$_	,	,
die	DRELS.*.Akk.Pl	die	dër
ain	DIART.Masc.Nom.Sg.*	ein	èin
ritter	NA.Masc.Nom.Sg.st	ritter	rîtære
mit	APPR	mit	mit
preys	NA.Masc.Dat.Sg.st	prîse	prîs
erwarb	VVFIN.Ind.Past.Sg.3	erwarp	erwërben
,	$_	,	,
ja	PTKANT	jâ	jâ
ob	KOUS	ob	obe
fraw	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
selld	NA.Fem.Nom.Sg.*	<unknown>	<unknown>
mich	PPER.*.Akk.Sg.1	mich	ich
wollte	VMFIN.*.Past.Sg.3	wolte	wèllen
darzu	PAVD|PAVAP	dâr|zuo	dâr|zuo
stewren	VVINF	stiuren	stiuren
.	$_	.	.
	
-	$_	-	-
fraw	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
mynn	NA.Fem.Nom.Sg.*	minne	minne
,	$_	,	,
erst	AVD.Sup	êrst	êreste
mues	VMFIN.Ind.Pres.Sg.1	muoz	müèzen
ich	PPER.*.Nom.Sg.1	ich	ich
lauffen	VVINF	loufen	loufen
durch	APPR	durch	durh
not	NA.Fem.Akk.Sg.st	nôt	nôt
zu	APPR	zuo	ze
ewren	DPOSA.*.Dat.Pl.st	iuweren	iuwer
genaden	NA.Fem.Dat.Pl.*	genâden	genâde
.	$_	.	.
	
gross	ADJA.Pos.Fem.Nom.Sg.*	grôz	grôz
sorg	NA.Fem.Nom.Sg.*	sorge	sorge
und	KON	und	unte
vorcht	NA.Fem.Nom.Sg.*	vorht	vorhte
mit	APPR	mit	mit
hauffen	NA.Fem.Dat.Pl.*	houfen	hoffe
hand	VAFIN.Ind.Pres.Pl.3	hânt	haben
mich	PPER.*.Akk.Sg.1	mich	ich
mit	APPR	mit	mit
diser	DDA.Fem.Dat.Sg.*	diser	dise
abentewr	NA.Fem.Dat.Sg.st	<unknown>	<unknown>
beladen	VVPP	beladen	beladen
.	$_	.	.
	
fraw	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
er	NA.Fem.Nom.Sg.*	êr	êre
und	KON	und	unte
mynn	NA.Fem.Nom.Sg.*	minne	minne
,	$_	,	,
irratt	VVFIN.*.Pres.Pl.2	errâtet	errâten
mir	PPER.*.Dat.Sg.1	mir	ich
payd	DIS.Masc.Nom.Pl.st	beide	bèide
mit	APPR	mit	mit
trewen	NA.Fem.Dat.Pl.*	triuwen	triuwe
!	$_	!	!
	
hab	VAFIN.*.Pres.Sg.1	habe	haben
ich	PPER.*.Nom.Sg.1	ich	ich
ewren	DPOSA.Masc.Akk.Sg.st	iuweren	iuwer
breys	NA.Masc.Akk.Sg.st	breiz	prîs
gehonet	VVPP	gehoenet	hoènen
ye,	$_	jê	<unknown>
zu	APPR	zuo	ze
pessten	NA.Neut.Dat.Sg.wk	bestên	bestân
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
ich	PPER.*.Nom.Sg.1	ich	ich
in	PPER.Masc.Akk.Sg.3	in	ër
vort	AVD	vort	vort
ymmer	AVD	iemer	ièmer
newen	VVINF	niuwen	niuwen
.	$_	.	.
	
ewr	DPOSA	iuwer	iuwer
eren	NA.Fem.Gen.Pl.*	êren	êre
inesigel	NA.Neut.Akk.Pl.st	inesigel	innesigel
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
ich	PPER.*.Nom.Sg.1	ich	ich
zu	APPR	zuo	ze
fleisse	NA.Neut.Dat.Sg.st	vleische	vlèisch
stempfen	VVINF	stempfen	stèmpfen
.	$_	.	.
	
helft	VVIMP.Pl.2	helfet	hëlfen
,	$_	,	,
das	KOUS	daz	dazz
auskünsten	NA.Fem.Dat.Pl.st	ûzkünsten	ûzkunst
tigel	NA.Masc.Akk.Sg.st	tigel	tigel
ich	PPER.*.Nom.Sg.1	ich	ich
giessen	VVINF	giezen	gièzen
müg	VMFIN.Subj.Pres.Sg.1	müge	mügen
,	$_	,	,
das	DDS.Neut.Akk.Sg.*	daz	dër
unwirdthue	PPER.*.Nom.Sg.2	<unknown>	<unknown>
vertempfen	VVINF	vertempfen	vertèmpfen
.	$_	.	.
	
an	APPR	an	ane
künsten	NA.Fem.Dat.Pl.st	künsten	kunst
stam	NA.Masc.Dat.Sg.*	stamme	stamme
wetzt	VVFIN.Ind.Pres.Sg.3	wetzet	wètzen
meiner	DPOSA.Fem.Gen.Sg.st	mîner	mîn
zung	NA.Fem.Gen.Sg.st	zunge	zunge
grabstickel	NA.Masc.Nom.Sg.st	grapstickel	grabstickel
,	$_	,	,
das	KOUS	daz	dazz
sy	PPER.Fem.Nom.Sg.3	si	ër
durch	APPR	durch	durh
grab	NA.Neut.Akk.Sg.st	grap	grab
vil	AVD	vile	vile
süesser	ADJA.Pos.*.Gen.Pl.st	süezer	süèze
wort	NA.Neut.Akk.Sg.st	wort	wort
,	$_	,	,
wann	KO*	wanne	wante
darzu	PAVD|PAVAP	dâr|zuo	dâr|zuo
hört	VVFIN.Ind.Pres.Sg.3	hoert	hoèren
nicht	PTKNEG	niht	niht
schaufel	NA.Masc.Nom.Sg.st	schâfel	schâf
noch	KON	noch	noh
der	DDART.Masc.Nom.Sg.*	der	dër
pickel	NA.Masc.Nom.Sg.st	pickel	bickel
.	$_	.	.
	
ulrich	NE.Nom.Sg	Uolrîch	Uolrîch
,	$_	,	,
du	PPER.*.Nom.Sg.2	dû	dû
tuest	VVFIN.*.Pres.Sg.2	tuost	tuon
erst	AVD.Sup	êrst	êreste
rieffen	VVINF	riefen	rièfen
,	$_	,	,
wann	KO*	wanne	wante
du	PPER.*.Nom.Sg.2	dû	dû
versinken	VVINF	versinken	versinken
willd	VMFIN.Ind.Pres.Sg.2	wilt	wèllen
in	APPR	in	in
schanden	NA.Fem.Dat.Pl.*	schanden	schante
muer	NA.Fem.Akk.Sg.st	mûr	mûre
dem	DDART.Masc.Dat.Sg.*	dem	dër
tieffen	ADJA.Pos.Masc.Dat.Sg.wk	tiefen	tièf
.	$_	.	.
	
dein	DPOSA.Masc.Nom.Sg.*	dîn	dîn
ruef	NA.Masc.Nom.Sg.*	<unknown>	rüèfe
zu	APPR	zuo	ze
uns	PPER.*.Dat.Pl.1	uns	wir
von	APPR	von	von
dir	PPER.*.Dat.Sg.2	dir	dû
uns	PPER.*.Dat.Pl.1	uns	wir
gar	AVD	gar	gare
bevildt	VVFIN.Ind.Pres.Sg.3	bevilhet	bevilen
.	$_	.	.
	
ob	KOUS	ob	obe
dein	DPOSA	dîn	dîn
arbait	NA.Fem,Neut.Nom.Sg.st	arbeit	arbèit
nicht	PTKNEG	niht	niht
hört	VVFIN.*.Past.Sg.3	hôrte	hoèren
aim	DIART.Masc.Dat.Sg.st	eineme	èin
fürsten	NA.Masc.Dat.Sg.wk	vürsten	vürste
herren	NA.Masc.Dat.Sg.*	hêrren	hêrre
,	$_	,	,
des	DDS.Masc.Gen.Sg.*	des	dër
lob	NA.Masc,Neut.Nom.Sg.st	lop	lob
so	AVD	sô	sô
menigen	DIA.Masc.Akk.Sg.st	manigen	manig
endt	NA.Masc.Akk.Sg.st	<unknown>	<unknown>
erhillt	VVFIN.Ind.Pres.Sg.3	erhilet	erhëllen
,	$_	,	,
sunst	AVD	sunst	sunst
torfstu	VMFIN.Subj.Pres.Sg.2|PPER.*.Nom.Sg.2	<unknown>	durfen|dû
rat	NA.Masc.Akk.Sg.st	rât	rât
noch	KON	noch	noh
hilf	NA.Fem.Akk.Sg.st	helfe	hëlfe
nit	PTKNEG	niet	niht
von	APPR	von	von
uns	PPER.*.Dat.Pl.1	uns	wir
geren	VVINF	geren	gëren
.	$_	.	.
	
durch	APPR	durch	durh
den	DDART.Masc.Akk.Sg.*	den	dër
fürsten	NA.Masc.Akk.Sg.wk	vürsten	vürste
gehewren	VVINF	gehiuren	gehorwen
so	AVD	sô	sô
wil	VMFIN.Ind.Pres.Sg.3	wile	wèllen
fraw	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
mynn	NA.Fem.Nom.Sg.*	minne	minne
und	KON	und	unte
ich	PPER.*.Nom.Sg.1	ich	ich
mit	APPR	mit	mit
rat	NA.Masc.Dat.Sg.st	râte	rât
und	KON	und	unte
ler	VVFIN.*.Pres.Sg.1	lêr	lêren
dich	PPER.*.Akk.Sg.2	dich	dû
stewren	VVINF	stiuren	stiuren
,	$_	,	,
wie	AVW	wie	wiè
es	PPER.Neut.Nom.Sg.3	ez	ër
yedoch	AVD	iedoch	ièdoh
vil	AVD	vile	vile
clain	ADJD.Pos	kleine	klèine
vervahet	VVFIN.Ind.Pres.Sg.3	vervæhet	vervâhen
dich	PPER.*.Akk.Sg.2	dich	dû
.	$_	.	.
	
ain	DIART	ein	èin
hof	NA.Masc.Nom.Sg.st	hof	hov
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
hin	AVD	hin	hine
gen	APPR	gein	gègen
frewden	NA.Fem.Gen.Pl.*	vröuweden	vröuwede
tal	NA.Masc,Neut.Dat.Sg.st	tal	tal
gesprochen	VVPP	gesprochen	sprëchen
,	$_	,	,
da	AVD	dâ	dâr
man	PI.*.Nom.Sg.st	man	man
wirt	VAFIN.Ind.Pres.Sg.3	wirdet	wërden
messenpreis	NA.Masc.Nom.Sg.st	messenpreis	mëzzprîs
und	KON	und	unte
er	PPER.Masc.Nom.Sg.3	er	ër
,	$_	,	,
ain	DIART	ein	èin
quotlibet	VVPP	gequâtlîbet	quëltlièben
,	$_	,	,
werd	VAFIN.Subj.Pres.Sg.3	werde	wërden
aus	PTKVZ	ûz	ûz
mit	APPR	mit	mit
all	DIA	al	all
ain	CARDA	ein	èin
wochen	NA.Fem.Dat.Pl.*	wochen	woche
.	$_	.	.
	
dar	AVD	dar	dâr
weil	VMFIN.*.Pres.Pl.1	wellen	wèllen
wir	PPER.*.Nom.Pl.1	wir	wir
mit	APPR	mit	mit
dir	PPER.*.Dat.Sg.2	dir	dû
keren	VVINF	kêren	kêren
;	$_	;	;
da	AVD	dâ	dâr
magstu	VMFIN.Subj.Pres.Sg.2|PPER.*.Nom.Sg.2	mages|dû	mügen|dû
dir	PRF.Dat.Sg.st	dir	dû
genueg	NA.Neut.Akk.Sg.st	genuoc	genuoge
hören	VVINF	hoeren	hoèren
von	APPR	von	von
wird	NA.Fem.Dat.Sg.st	wirde	wirde
und	KON	und	unte
eren	NA.Fem.Dat.Sg.st	êren	êre
,	$_	,	,
wie	AVW	wie	wiè
man	PI.*.Nom.Sg.st	man	man
schaydet	VVFIN.Ind.Pres.Sg.3	scheidet	schèiden
mass,	$_	massmî	mass
zucht	NA.Fem.Akk.Sg.st	zuht	zuht
von	APPR	von	von
unfueg	NA.Masc.Dat.Sg.st	<unknown>	<unknown>
.	$_	.	.
	
mang	DIA.Masc.Nom.Sg.*	manic	manig
künstenreichen	ADJA.Pos.Masc.Akk.Sg.*	künstenrîchen	künsterîche
man	NA.Masc.Nom.Sg.st	man	mann
von	APPR	von	von
hohen	ADJA.Pos.*.Dat.Pl.*	hôhen	hôh
wytzen	NA.Fem.Dat.Pl.*	witzen	witze
,	$_	,	,
natur	NA.Fem.Akk.Sg.st	natûr	natûre
und	KON	und	unte
auch	AVD	ouch	ouch
beschaidenhait	NA.Fem.Akk.Sg.st	bescheidenheit	beschèidenhèit
sicht	VVFIN.Ind.Pres.Sg.3	sihet	sëhen
man	PI.*.Nom.Sg.st	man	man
bey	APPR	bî	bî
aller	DIA.Fem.Dat.Sg.st	aller	all
werder	ADJA.Pos.Fem.Dat.Sg.st	werder	wërd
diete	NA.Fem.Dat.Sg.st	diete	dièt
sitzen	VVINF	sitzen	sitzen
.	$_	.	.
	
kundestu	VMFIN.Subj.Past.Sg.2|PPER.*.Nom.Sg.2	kundes|dû	kunnen|dû
da	AVD	dâ	dâr
icht	NA.Neut.Akk.Sg.st	iht	iht
gemerken	VVINF	gemerken	gemèrken
,	$_	,	,
das	DRELS.Neut.Nom.Sg	daz	dër
dir	PPER.*.Dat.Sg.2	dir	dû
wol	AVD	wole	wole
kem	VVFIN.Subj.Pres.Sg.3	keme	komen
zu	APPR	zuo	ze
frumen	NA.Neut.Dat.Sg.wk	vrumenne	vrumen
,	$_	,	,
dir	PPER.*.Dat.Sg.2	dir	dû
witz,	$_	witz	<unknown>
vernuft	NA.Fem.Nom.Sg.st	vernunft	vernumft
tät	VVFIN.Ind.Pres.Sg.3	tuot	tuon
sterken	VVINF	sterken	stèrken
,	$_	,	,
so	AVD	sô	sô
das	KOUS	daz	dazz
du	PPER.*.Nom.Sg.2	dû	dû
wärst	VVFIN.*.Pres.Sg.2	würsest	warsen
der	DDART.Fem.Gen.Sg.*	der	dër
girde	NA.Fem.Gen.Sg.st	girede	girede
dein	DPOSA	dîn	dîn
volkumen	ADJD.Pos	volkomen	vollkomen
,	$_	,	,
füeg	VVIMP.Sg.2	<unknown>	vüègen
dich	PRF.Akk.Sg.st	dich	dû
mit	APPR	mit	mit
uns	PPER.*.Dat.Pl.1	uns	wir
,	$_	,	,
die	DDART.Fem.Akk.Sg.*	die	dër
warhait	NA.Fem.Akk.Sg.st	wârheit	wârhèit
solltu	VMFIN.Ind.Pres.Sg.2|PPER.*.Nom.Sg.2	solt|dû	solen|dû
schawen	VVINF	schouwen	schouwen
!	$_	!	!
	
-	$_	-	-
sunst	NA.Fem.Akk.Sg.st	sunst	sunst
volgt	VVFIN.*.Past.Sg.1	volgete	volgen
ich	PPER.*.Nom.Sg.1	ich	ich
nach	PTKVZ	nâch	nâh
auf	APPR	ûf	ûf
irem	DPOSA.Neut.Dat.Sg.st	irem	ire
spor	NA.Neut.Dat.Sg.st	spore	spor
.	$_	.	.
	
do	KOUS	dô	dô
wir	PPER.*.Nom.Pl.1	wir	wir
kumen	VVFIN.*.Pres.Pl.1	kumen	komen
in	APPR	in	in
ain	DIART	ein	èin
gepluemte	NA.Neut.Akk.Sg.st	<unknown>	gebluomen
awen	NA.Neut.Akk.Pl.wk	âwen	ouwe
,	$_	,	,
do	AVD	dô	dô
stuend	VVFIN.Subj.Past.Sg.3	<unknown>	stân
ein	DIART	ein	èin
zellt	NA.Fem,Neut.Nom.Sg.st	zelt	zëlt
geheret	VVPP	gehêrt	hêren
,	$_	,	,
von	APPR	von	von
glast	NA.Masc.Dat.Sg.st	glaste	glast
gar	AVD	gar	gare
unvertunkelt	ADJD.Pos	unvertunkelt	unvertunkelet
,	$_	,	,
dargen	AVD	dargen	darene
ain	DIART.Masc.Nom.Sg.*	ein	èin
